Taxonomy	Rank	HMT	Notes	Max	BMU-mean	BMU-10p	BMU-90p	BMU-sd	BMU-prev
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;intermedius	species	644		0.082	0.082	0.0	0.264	0.182	45.658
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;mutans	species	686		0.188	0.188	0.0	0.19	1.484	26.551
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;sanguinis	species	758		2.399	2.399	0.205	6.453	3.113	98.511
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Catonella;morbi	species	165		0.09	0.09	0.0	0.25	0.188	52.854
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnoanaerobaculum;orale	species	082		0.2	0.2	0.0	0.591	0.328	66.749
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnoanaerobaculum;sp. HMT-083	species	083		0.268	0.268	0.0	0.667	0.406	74.69
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnospiraceae [G2];bacterium HMT-096	species	096		0.178	0.178	0.0	0.361	0.707	38.958
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Oribacterium;sinus	species	457		0.37	0.37	0.0	0.994	0.558	79.156
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Oribacterium;sp. HMT-078	species	078		0.022	0.022	0.0	0.057	0.079	20.347
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Shuttleworthia;satelles	species	095		0.015	0.015	0.0	0.024	0.088	10.422
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Stomatobaculum;longum	species	419		0.131	0.131	0.0	0.344	0.342	44.417
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Stomatobaculum;sp. HMT-097	species	097		0.255	0.255	0.0	0.637	0.44	66.005
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptococcaceae;Peptococcus;sp. HMT-167	species	167		0.006	0.006	0.0	0.0	0.043	6.452
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptococcaceae;Peptococcus;sp. HMT-168	species	168		0.013	0.013	0.0	0.047	0.044	16.377
Bacteria;Bacillota;Clostridia;Eubacteriales;Anaerovoracaceae;Mogibacterium;diversum	species	593		0.042	0.042	0.0	0.152	0.086	37.469
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptostreptococcaceae [G1 "Eubacterium"];sulci	species	467		0.039	0.039	0.0	0.12	0.096	32.506
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptostreptococcus;stomatis	species	112		0.078	0.078	0.0	0.237	0.159	46.898
Bacteria;Bacillota;Clostridia;Eubacteriales;Ruminococcaceae;Ruminococcaceae [G1];bacterium HMT-075	species	075		0.051	0.051	0.0	0.163	0.139	33.995
Bacteria;Bacillota;Clostridia;Eubacteriales;Ruminococcaceae;Ruminococcaceae [G2];bacterium HMT-085	species	085		0.032	0.032	0.0	0.104	0.067	34.491
Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Selenomonas;noxia	species	130		0.088	0.088	0.0	0.203	0.303	39.206
Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Selenomonas;sp. HMT-136	species	136	Some of the reads equidistant from these taxa (136-149-478) are included in HMT-136 because they are too close to differentiate at this site (BMU).	0.117	0.117	0.0	0.304	0.348	46.154
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Anaeroglobus;geminatus	species	121		0.016	0.016	0.0	0.0	0.232	5.211
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Dialister;invisus	species	118		0.063	0.063	0.0	0.192	0.156	37.717
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;micronuciformis	species	122		0.087	0.087	0.0	0.258	0.193	43.176
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Veillonella;atypica	species	524		0.519	0.519	0.0	1.376	1.054	72.953
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Veillonella;dispar	species	160	Reads equidistant to HMT-160 and HMT-161 were assigned to each taxon in proportion to the abundance of HMT-160 and HMT-161 individually at this body site (BMU).	1.95	1.95	0.107	4.796	2.439	96.526
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Veillonella;parvula	species	161	Reads equidistant to HMT-160 and HMT-161 were assigned to each taxon in proportion to the abundance of HMT-160 and HMT-161 individually at this body site (BMU).	3.165	3.165	0.258	7.33	4.785	98.511
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Veillonella;rogosae	species	158		1.135	1.135	0.0	2.856	1.668	88.834
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Veillonella;sp. HMT-780	species	780		0.791	0.791	0.0	1.377	3.03	49.132
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;animalis	species	420		0.301	0.301	0.0	0.734	0.641	77.916
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;polymorphum	species	202	Because HMT-203 is not present individually, all equidistant reads were assigned to HMT-202 at this body site (BMU).;Some of the reads equidistant from these taxa (200-202-203) are included in HMT-202 because they are too close to differentiate at this site (BMU).	1.329	1.329	0.049	3.287	2.051	93.3
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;vincentii	species	200	Some of the reads equidistant from these taxa (200-202-203) are included in HMT-200 because they are too close to differentiate at this site (BMU).	0.256	0.256	0.0	0.585	0.669	74.938
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;periodonticum	species	201		2.57	2.57	0.136	6.101	3.176	95.782
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;sp. HMT-248	species	248		0.071	0.071	0.0	0.014	0.744	10.174
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;buccalis	species	563		0.119	0.119	0.0	0.246	0.369	42.68
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;hofstadii	species	224		0.123	0.123	0.0	0.283	0.522	40.943
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;hongkongensis	species	213		0.25	0.25	0.0	0.585	0.599	64.516
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Pseudoleptotrichia;sp. HMT-212	species	212		0.157	0.157	0.0	0.412	0.301	62.035
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Pseudoleptotrichia;sp. HMT-215	species	215		0.311	0.311	0.0	0.804	0.5	75.434
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;sp. HMT-218	species	218		0.04	0.04	0.0	0.02	0.217	10.422
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;sp. HMT-225	species	225		0.055	0.055	0.0	0.103	0.319	26.303
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Pseudoleptotrichia;sp. HMT-392	species	392		0.116	0.116	0.0	0.287	0.342	46.898
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;sp. HMT-417	species	417		0.368	0.368	0.0	1.083	0.8	65.012
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;wadei	species	222		0.185	0.185	0.0	0.343	0.78	45.658
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Pseudoleptotrichia;goodfellowii	species	845		0.01	0.01	0.0	0.045	0.024	18.114
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Pseudoleptotrichia;sp. HMT-219	species	219		0.044	0.044	0.0	0.115	0.128	27.543
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;sp. HMT-221	species	221		0.306	0.306	0.0	0.815	0.917	46.402
Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;sp. HMT-004	species	004		0.011	0.011	0.0	0.0	0.071	6.7
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Lautropia;mirabilis	species	022		1.405	1.405	0.0	3.253	3.201	82.878
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Ralstonia;sp. HMT-406	species	406		0.03	0.03	0.0	0.0	0.263	7.94
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Eikenella;corrodens	species	577		0.16	0.16	0.0	0.363	0.411	58.561
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Kingella;oralis	species	706		0.348	0.348	0.0	0.684	0.913	72.953
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;flavescens	species	610	Reads equidistant to HMT-476 and HMT-610 were assigned to each taxon in proportion to the abundance of HMT-476 and HMT-610 individually at this body site (BMU).	0.558	0.558	0.0	1.601	1.319	71.464
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;oralis	species	014		0.343	0.343	0.0	1.025	0.932	39.206
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;sp. HMT-018	species	018		0.048	0.048	0.0	0.031	0.61	12.655
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;subflava	species	476	Reads equidistant to HMT-476 and HMT-610 were assigned to each taxon in proportion to the abundance of HMT-476 and HMT-610 individually at this body site (BMU).;Some of the reads equidistant from these taxa (101-476-682) are included in HMT-476 because they are too close to differentiate at this site (BMU).	2.276	2.276	0.077	5.558	3.319	94.541
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseriaceae [G1];bacterium HMT-174	species	174		0.251	0.251	0.0	0.0	4.699	7.196
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;concisus	species	575		0.296	0.296	0.0	0.798	0.492	78.66
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;gracilis	species	623		0.057	0.057	0.0	0.162	0.149	37.717
Bacteria;Pseudomonadota;Gammaproteobacteria;Cardiobacteriales;Cardiobacteriaceae;Cardiobacterium;hominis	species	633		0.027	0.027	0.0	0.076	0.087	27.792
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Aggregatibacter;aphrophilus	species	545		0.116	0.116	0.0	0.246	0.415	37.717
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Aggregatibacter;sp. HMT-458	species	458		0.528	0.528	0.0	1.381	1.236	69.479
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus;parahaemolyticus	species	945	Reads equidistant to HMT-035 and HMT-945 were assigned to each taxon in proportion to the abundance of HMT-035 and HMT-945 individually at this body site (BMU).	2.015	2.015	0.0	5.545	4.868	74.194
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus;parainfluenzae	species	718		24.011	24.011	5.025	50.488	18.277	99.752
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus;paraphrohaemolyticus	species	035	Reads equidistant to HMT-035 and HMT-945 were assigned to each taxon in proportion to the abundance of HMT-035 and HMT-945 individually at this body site (BMU).	0.88	0.88	0.0	2.17	2.928	58.561
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus;pittmaniae	species	946		0.273	0.273	0.0	0.752	0.496	66.253
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus;sputorum	species	944		0.637	0.637	0.0	1.748	1.16	73.201
Bacteria;Bacillota;Bacilli;Caryophanales;Gemellaceae;Gemella;haemolysans	species	626	Neither HMT-626 nor HMT-757 were present singularly so these reads were split evenly at this site (BMU).;Some of the reads equidistant from these taxa (046-626-757) are included in HMT-626 because they are too close to differentiate at this site (BMU).	7.449	7.449	1.214	18.056	6.932	100.0
Bacteria;Bacillota;Bacilli;Caryophanales;Gemellaceae;Gemella;sanguinis	species	757	Neither HMT-626 nor HMT-757 were present singularly so these reads were split evenly at this site (BMU).;Some of the reads equidistant from these taxa (046-626-757) are included in HMT-757 because they are too close to differentiate at this site (BMU).	7.449	7.449	1.214	18.056	6.932	100.0
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;polysaccharea	species	737	Neither HMT-737 nor HMT-956 were present singularly so these reads were split evenly at this site (BMU).	0.117	0.117	0.0	0.168	0.533	25.31
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;cinerea	species	956	Neither HMT-737 nor HMT-956 were present singularly so these reads were split evenly at this site (BMU).	0.117	0.117	0.0	0.168	0.533	25.31
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Aggregatibacter;sp. HMT-513	species	513	Neither HMT-513 nor HMT-762 were present singularly so these reads were split evenly at this site (BMU).	0.029	0.029	0.0	0.051	0.176	23.821
Bacteria;Pseudomonadota;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Aggregatibacter;segnis	species	762	Because HMT-512 is not present individually, all equidistant reads were assigned to HMT-762 at this body site (BMU).	0.238	0.238	0.0	0.59	0.847	54.094
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae;Parvimonas;sp. HMT-110	species	110	HMTs110-111-393 were not present singularly so these reads were split evenly at this body site (BMU)	0.03	0.03	0.0	0.073	0.074	47.891
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae;Parvimonas;micra	species	111	HMTs110-111-393 were not present singularly so these reads were split evenly at this body site (BMU)	0.03	0.03	0.0	0.073	0.074	47.891
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae;Parvimonas;sp. HMT-393	species	393	HMTs110-111-393 were not present singularly so these reads were split evenly at this body site (BMU)	0.03	0.03	0.0	0.073	0.074	47.891
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;oralis;subsp. dentisani clade-398	subspecies	398		2.003	2.003	0.122	4.594	4.032	99.256
UNMATCHED				1.645	1.645	0.066	2.174	5.914	96.774
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;oralis	species		combined from subspecies	2.003	2.003	0.122	4.594	4.032	99.256
