Taxonomy	Rank	HMT	Notes	Max	VIN-mean	VIN-10p	VIN-90p	VIN-sd	VIN-prev
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae;Peptoniphilus;lacrimalis	species	836		0.049	0.049	0.0	0.121	0.147	29.31
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;animalis	species	420		0.092	0.092	0.0	0.035	0.456	27.586
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Sneathia;sanguinegens	species	837		0.162	0.162	0.0	0.0	1.523	5.172
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Sneathia;vaginalis	species	844		0.558	0.558	0.0	0.0	3.579	8.621
Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;sp. HMT-004	species	004		0.015	0.015	0.0	0.028	0.093	17.241
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter;xylosoxidans	species	343		0.113	0.113	0.0	0.088	0.971	20.69
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia;cepacia	species	571		0.147	0.147	0.0	0.371	0.543	22.414
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Kingella;oralis	species	706		0.003	0.003	0.0	0.0	0.033	2.874
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;ureolyticus	species	842		0.153	0.153	0.0	0.154	0.904	25.287
Bacteria;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae;Stenotrophomonas;maltophilia	species	663		0.159	0.159	0.0	0.284	0.721	25.862
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;gasseri	species	615	Neither HMT-615 nor HMT-819 were present singularly so these reads were split evenly at this site (VIN).	3.674	3.674	0.0	8.794	10.49	69.54
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;johnsonii	species	819	Neither HMT-615 nor HMT-819 were present singularly so these reads were split evenly at this site (VIN).	3.674	3.674	0.0	8.794	10.49	69.54
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae;Anaerococcus;prevotii	species	738	Neither HMT-738 nor HMT-788 were present singularly so these reads were split evenly at this site (VIN).	0.155	0.155	0.0	0.279	0.519	47.126
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae;Anaerococcus;tetradius	species	788	Neither HMT-738 nor HMT-788 were present singularly so these reads were split evenly at this site (VIN).	0.155	0.155	0.0	0.279	0.519	47.126
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Limosilactobacillus;reuteri;clade-938	subspecies	938	Because HMT-818 is not present individually, all equidistant reads were assigned to HMT-938 at this body site (VIN).	0.392	0.392	0.0	1.152	0.736	59.195
UNMATCHED				6.055	6.055	0.056	17.825	9.63	96.552
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Limosilactobacillus;reuteri	species		combined from subspecies	0.392	0.392	0.0	1.152	0.736	59.195
