Taxonomy	Rank	HMT	Notes	Max	BM-mean	BM-sd	BM-prev	HP-mean	HP-sd	HP-prev	KG-mean	KG-sd	KG-prev	PT-mean	PT-sd	PT-prev	SUBP-mean	SUBP-sd	SUBP-prev	SUPP-mean	SUPP-sd	SUPP-prev	SV-mean	SV-sd	SV-prev	TD-mean	TD-sd	TD-prev	TH-mean	TH-sd	TH-prev	NS-mean	NS-sd	NS-prev
Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae	family			13.996	2.514	3.057	100.0	2.266	2.307	100.0	1.902	2.988	100.0	5.379	6.139	100.0	13.996	13.582	100.0	9.013	10.012	100.0	3.21	4.461	100.0	2.914	3.507	100.0	3.767	4.566	100.0	0.007	0.019	20.0
Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Flavobacteriaceae	family			8.394	0.437	0.551	97.143	0.952	2.836	100.0	0.525	1.006	100.0	0.252	0.416	100.0	4.6	5.951	100.0	8.394	6.419	100.0	0.438	0.638	98.0	0.489	1.353	100.0	0.527	1.071	100.0	0.003	0.013	10.0
Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Leptotrichiaceae	family			9.593	1.798	2.152	100.0	2.125	4.148	100.0	1.621	2.81	97.674	4.157	5.45	100.0	5.101	8.349	100.0	9.593	9.698	100.0	1.701	2.299	98.0	5.131	8.547	100.0	5.221	5.653	100.0	0.01	0.028	25.0
Bacteria;Firmicutes;Bacilli;Bacillales;Listeriaceae	family			0.0	0.0	0.001	2.857	0.0	0.0	0.0	0.0	0.0	2.326	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.001	3.03	0.0	0.0	0.0
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae	family			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	3.226	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae	family			0.004	0.002	0.005	14.286	0.0	0.001	14.286	0.0	0.001	4.651	0.001	0.003	16.129	0.004	0.016	16.216	0.002	0.012	8.824	0.0	0.001	10.0	0.0	0.001	5.0	0.002	0.013	9.091	0.0	0.0	0.0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae	family			6.295	1.717	2.318	100.0	3.507	6.824	96.429	1.51	2.414	100.0	3.34	5.166	100.0	3.038	5.342	95.946	2.646	3.26	97.059	6.295	8.303	98.0	2.052	2.955	100.0	2.015	3.089	100.0	0.015	0.034	25.0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidales [F-2]	family			1.338	0.052	0.118	60.0	0.008	0.012	50.0	0.032	0.138	30.233	0.01	0.026	45.161	1.338	3.962	59.459	0.28	0.544	70.588	0.011	0.018	64.0	0.001	0.002	22.5	0.015	0.048	51.515	0.0	0.0	0.0
Bacteria;Bacteroidetes;Bacteroidetes [C-1];Bacteroidetes [O-1];Bacteroidetes [F-1]	family			0.108	0.012	0.04	31.429	0.003	0.01	21.429	0.002	0.01	13.953	0.108	0.372	35.484	0.1	0.426	32.432	0.01	0.028	26.471	0.003	0.009	30.0	0.0	0.001	5.0	0.015	0.04	33.333	0.0	0.0	0.0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae	family			18.137	4.055	4.754	100.0	9.185	8.603	100.0	3.893	5.47	100.0	17.813	11.712	100.0	7.694	8.868	100.0	2.865	3.904	100.0	12.81	12.676	100.0	14.095	11.07	100.0	18.137	10.299	100.0	0.039	0.083	30.0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae	family			0.22	0.217	0.356	77.143	0.151	0.282	78.571	0.066	0.128	62.791	0.076	0.334	61.29	0.097	0.221	56.757	0.22	0.396	70.588	0.082	0.167	80.0	0.031	0.109	62.5	0.019	0.038	63.636	0.008	0.022	15.0
Bacteria;Actinobacteria;Actinomycetia;Micrococcales;Intrasporangiaceae	family			0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.351	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	3.03	0.001	0.002	15.0
Bacteria;Actinobacteria;Actinomycetia;Micrococcales;Brevibacteriaceae	family			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	5.0
Bacteria;Absconditabacteria (SR1);Absconditabacteria (SR1) [C-1];Absconditabacteria (SR1) [O-1];Absconditabacteria (SR1) [F-1]	family			0.604	0.029	0.051	54.286	0.046	0.109	53.571	0.073	0.159	58.14	0.604	1.4	64.516	0.209	1.407	41.892	0.059	0.16	55.882	0.329	1.051	64.0	0.106	0.379	55.0	0.364	0.839	63.636	0.0	0.0	0.0
Bacteria;Saccharibacteria (TM7);Saccharibacteria (TM7) [C-1];Saccharibacteria (TM7) [O-1];Saccharibacteria (TM7) [F-1]	family			3.726	0.381	0.837	100.0	0.249	0.443	96.429	0.452	0.92	93.023	0.759	1.33	100.0	3.726	5.558	97.297	2.481	3.815	100.0	0.759	2.21	98.0	0.46	0.631	92.5	0.803	1.137	100.0	0.003	0.009	10.0
Bacteria;Actinobacteria;Actinomycetia;Micrococcales;Dermabacteraceae	family			0.008	0.0	0.0	2.857	0.0	0.0	3.571	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	1.351	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.024	20.0
Bacteria;Saccharibacteria (TM7);Saccharibacteria (TM7) [C-1];Saccharibacteria (TM7) [O-1];Saccharibacteria (TM7) [F-2]	family			0.849	0.037	0.127	48.571	0.01	0.024	32.143	0.006	0.015	32.558	0.048	0.255	25.806	0.849	2.626	41.892	0.505	2.319	50.0	0.005	0.008	48.0	0.001	0.003	12.5	0.002	0.004	30.303	0.0	0.0	0.0
Bacteria;Synergistetes;Synergistia;Synergistales;Dethiosulfovibrionaceae	family			0.004	0.001	0.004	17.143	0.0	0.002	3.571	0.0	0.0	0.0	0.002	0.011	6.452	0.0	0.001	2.703	0.004	0.022	2.941	0.0	0.001	6.0	0.0	0.001	5.0	0.002	0.007	9.091	0.0	0.0	0.0
Bacteria;Synergistetes;Synergistia;Synergistales;Synergistaceae	family			0.392	0.031	0.078	34.286	0.008	0.021	25.0	0.004	0.013	20.93	0.07	0.277	41.935	0.392	1.2	43.243	0.02	0.044	47.059	0.006	0.012	42.0	0.001	0.003	12.5	0.008	0.019	36.364	0.0	0.0	0.0
Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae	family			0.013	0.001	0.003	11.429	0.0	0.002	7.143	0.0	0.002	2.326	0.0	0.001	16.129	0.013	0.065	10.811	0.001	0.002	14.706	0.0	0.002	6.0	0.0	0.001	2.5	0.0	0.001	3.03	0.0	0.0	0.0
