	comment	HMT	level	type	source	max Segata oral sites	max Dewhirst oral site	max Eren oral site	max any oral site	Abundance category	Segata 2012 abundance data																				Dewhirst 35x9 abundance																												Eren et al. 2014 abundance data																				
Headers											BM		KG		HP		Throat		PT		TD		Saliva		SupP		SubP		Stool		BM			KG			HP			TD			PT			Throat			Saliva			SupP			SubP				BM		KG		HP		TD		PT		Throat		Saliva		SupP		SubP		Stool		
HOMD taxonomy											AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	mean	stdev	prevalence	mean	stdev	prevalence	mean	stdev	prevalence	mean	stdev	prevalence	mean	stdev	prevalence	mean	stdev	prevalence	mean	stdev	prevalence	mean	stdev	prevalence	mean	stdev	prevalence		mean	prevalence	mean	prevalence	mean	prevalence	mean	prevalence	mean	prevalence	mean	prevalence	mean	prevalence	mean	prevalence	mean	prevalence	mean	prevalence	notes
Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales			Order			0.001			0.001	4	0	0	0	0	0	0.004	0.001	0.013	0	0	0	0	0	0.001	0	0	0	0	0	0																																																	
Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales			Order			0.031			0.031	3	0.006	0.028	0.003	0.014	0.013	0.048	0.022	0.068	0.002	0.009	0	0.003	0.031	0.214	0.001	0.004	0.003	0.018	0.004	0.041																																																	
Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales			Order			3.408			3.408	1	0.789	1.592	0.106	0.321	0.396	0.65	0.649	1.774	0.172	0.348	0.06	0.155	2.313	7.158	3.408	4.624	2.946	4.387	2.149	3.528																																																	
Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales			Order			10.109			10.109	1	3.734	4.194	2.62	4.711	6.518	6.485	5.714	7.525	5.504	6.997	10.109	10.619	6.007	5.754	9.093	7.109	6.526	6.159	0.008	0.056																																																	
Bacteria;Proteobacteria;Betaproteobacteria;Rhodocyclales			Order			0.018			0.018	3	0.008	0.064	0.001	0.009	0.002	0.009	0.001	0.005	0	0.003	0	0	0.002	0.011	0.017	0.058	0.018	0.058	0	0																																																	
Bacteria;Proteobacteria;Deltaproteobacteria;Bdellovibrionales			Order						0	4																																																																					
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfobacterales			Order			0.003			0.003	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0.003	0.019	0	0																																																	
Bacteria;Proteobacteria;Deltaproteobacteria;Desulfovibrionales			Order			0			0	4	0	0	0	0	0	0	0	0.001	0	0.001	0	0	0	0.002	0	0	0	0.002	0.021	0.05																																																	
Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales			Order			2.947			2.947	1	0.266	0.377	0.978	2.386	0.535	0.599	1.435	1.639	1.498	1.872	1.348	1.681	2.947	3.117	1.007	1.3	1.195	1.105	0.004	0.029																																																	
Bacteria;Proteobacteria;Gammaproteobacteria;Cardiobacteriales			Order			0.249			0.249	2	0.015	0.037	0.005	0.042	0.006	0.018	0.007	0.028	0.004	0.029	0.001	0.005	0.01	0.027	0.249	0.363	0.217	0.426	0	0																																																	
Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales			Order			0.075			0.075	3	0.017	0.062	0.007	0.043	0.052	0.185	0.075	0.399	0.011	0.047	0.001	0.006	0.046	0.258	0.003	0.02	0.015	0.121	0.159	0.957																																																	
