Microbial clades		G1								G2										G3						G4	
Headers		GroupG1		BM		KG		Hp		GroupG2		Th		PT		TD		Sal		GroupG3		SupP		SubP		Stool	
	max	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV
Column1	Column28	Column2	Column3	Column4	Column5	Column6	Column7	Column8	Column9	Column10	Column11	Column12	Column13	Column14	Column15	Column16	Column17	Column18	Column19	Column20	Column21	Column22	Column23	Column24	Column25	Column26	Column27
Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales	0.003	0	0.003	0	0	0	0.004	0.001	0.006	0.002	0.013	0.003	0.022	0.001	0.013	0	0	0.003	0.019	0.001	0.005	0	0.001	0.002	0.01	0.001	0.011
Bacteria;Chloroflexi;Anaerolineae;Anaerolineales	0.002	0	0.001	0	0.002	0	0	0	0	0	0.001	0	0.001	0.001	0.004	0	0	0	0.001	0.001	0.01	0.001	0.004	0.002	0.015	0	0
Bacteria;Chloroflexi;Thermomicrobia;Sphaerobacterales	0	0	0	0	0.001	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Chloroflexi;Thermomicrobia;unclassified	0	0	0.001	0	0	0	0	0	0.002	0	0.001	0	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Cyanobacteria;Cyanobacteria;Chloroplast	0.107	0.058	0.578	0.107	1.005	0.055	0.664	0.012	0.065	0.03	0.138	0.025	0.119	0.006	0.023	0.004	0.016	0.085	0.394	0.006	0.051	0.008	0.067	0.005	0.036	0.001	0.011
Bacteria;Cyanobacteria;Cyanobacteria;unclassified	0.001	0	0	0	0	0	0	0	0	0	0.005	0.001	0.016	0	0	0	0	0	0.003	0	0	0	0	0	0	0.001	0.008
Bacteria;Deinococcus-Thermus;Deinococci;Deinococcales	0.002	0.001	0.012	0.002	0.022	0	0.002	0.001	0.01	0.001	0.008	0.002	0.019	0	0.002	0	0	0.001	0.008	0.001	0.01	0	0	0.002	0.02	0	0
Bacteria;Deinococcus-Thermus;Deinococci;Thermales	0.001	0	0.002	0.001	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Bacilli;Bacillales	7.307	5.247	5.079	7.307	6.568	4.37	4.207	4.064	4.463	1.595	1.691	2.284	2.502	2.238	2.445	0.938	0.863	0.921	0.954	0.666	1.333	0.616	1.23	0.715	1.437	0.091	1.114
Bacteria;Firmicutes;Bacilli;Lactobacillales	53.804	49.525	17.381	53.804	16.067	50.468	19.442	44.304	16.634	22.217	14.593	26.968	17.703	25.335	17.831	22.326	14.512	14.237	8.325	13.841	9.648	15.312	9.629	12.371	9.668	0.09	0.464
Bacteria;Firmicutes;Bacilli;unclassified	0.022	0.013	0.023	0.013	0.026	0.022	0.034	0.004	0.009	0.005	0.01	0.002	0.005	0.006	0.012	0.009	0.015	0.003	0.009	0.005	0.01	0.005	0.011	0.005	0.01	0	0.003
Bacteria;Firmicutes;Clostridia;Clostridiales	23.961	7.395	5.93	5.269	4.589	6.241	6.893	10.674	6.309	18.738	8.114	17.328	8.163	16.211	7.863	17.452	7.169	23.961	9.26	8.289	5.785	7	4.795	9.577	6.775	28.5	18.601
Bacteria;Firmicutes;Clostridia;unclassified	0.546	0.011	0.034	0.012	0.034	0.001	0.003	0.021	0.064	0.176	0.38	0.071	0.152	0.056	0.15	0.031	0.088	0.546	1.131	0.03	0.06	0.033	0.076	0.028	0.045	0.141	0.265
Bacteria;Firmicutes;Erysipelotrichi;Erysipelotrichales	0.161	0.046	0.104	0.015	0.037	0.002	0.006	0.121	0.268	0.138	0.263	0.161	0.345	0.147	0.284	0.134	0.198	0.112	0.224	0.011	0.041	0.004	0.011	0.019	0.072	0.308	0.546
