Microbial clades		G1								G2										G3						G4	
Headers		GroupG1		BM		KG		Hp		GroupG2		Th		PT		TD		Sal		GroupG3		SupP		SubP		Stool	
	max	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV	AVG	STDEV
Column1	Column28	Column2	Column3	Column4	Column5	Column6	Column7	Column8	Column9	Column10	Column11	Column12	Column13	Column14	Column15	Column16	Column17	Column18	Column19	Column20	Column21	Column22	Column23	Column24	Column25	Column26	Column27
Bacteria;Actinobacteria;Actinobacteria;Coriobacteriales;Coriobacteriaceae;Eggerthella	0	0	0	0	0	0	0	0	0.001	0	0	0	0.001	0	0.001	0	0	0	0	0	0	0	0	0	0	0.007	0.053
Bacteria;Actinobacteria;Actinobacteria;Coriobacteriales;Coriobacteriaceae;Enterorhabdus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0.007
Bacteria;Actinobacteria;Actinobacteria;Coriobacteriales;Coriobacteriaceae;Gordonibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0.008
Bacteria;Actinobacteria;Actinobacteria;Coriobacteriales;Coriobacteriaceae;Olsenella	0.03	0.003	0.013	0.005	0.016	0	0.001	0.004	0.022	0.004	0.021	0.004	0.023	0.008	0.045	0.001	0.009	0.002	0.009	0.021	0.05	0.012	0.03	0.03	0.07	0.001	0.004
Bacteria;Actinobacteria;Actinobacteria;Coriobacteriales;Coriobacteriaceae;Slackia	0.005	0.001	0.003	0.001	0.004	0	0	0.001	0.005	0.002	0.012	0.004	0.025	0.005	0.017	0	0.001	0.001	0.003	0.002	0.011	0	0.003	0.003	0.019	0.002	0.01
Bacteria;Actinobacteria;Actinobacteria;Coriobacteriales;Coriobacteriaceae;unclassified	0	0	0	0	0	0	0	0	0.001	0	0.002	0	0.003	0	0	0	0.003	0	0	0	0.001	0	0.001	0	0.001	0.022	0.117
Bacteria;Actinobacteria;Actinobacteria;Solirubrobacterales;Conexibacteraceae;Conexibacter	0.002	0	0	0	0	0	0	0	0.001	0	0.006	0	0	0	0	0	0	0.002	0.023	0	0	0	0	0	0	0	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides	0.437	0.234	1.278	0.198	1.072	0.066	0.546	0.437	2.217	0.149	0.51	0.273	1.026	0.069	0.229	0.02	0.04	0.236	0.743	0.066	0.48	0.011	0.024	0.122	0.936	47.821	23.591
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidales_incertae_sedis;Phocaeicola	0.023	0	0.001	0	0.002	0	0	0	0.001	0.001	0.009	0	0.004	0.001	0.009	0	0.001	0.004	0.021	0.014	0.098	0.005	0.037	0.023	0.159	0	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Barnesiella	0.006	0.002	0.014	0.002	0.013	0.002	0.017	0.003	0.013	0.003	0.018	0.003	0.013	0.001	0.008	0	0.003	0.006	0.048	0.001	0.017	0	0.004	0.002	0.03	1.173	2.218
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Butyricimonas	0.002	0.001	0.005	0	0.001	0	0.004	0.002	0.01	0	0.003	0	0.002	0	0.001	0	0	0.001	0.007	0.001	0.008	0	0	0.001	0.016	0.311	0.684
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Dysgonomonas	0.001	0	0.003	0	0.002	0	0	0.001	0.006	0	0.003	0.001	0.009	0	0.004	0	0	0	0	0.001	0.007	0	0.002	0.001	0.013	0	0.003
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Odoribacter	0.003	0.001	0.007	0.001	0.004	0	0.002	0.003	0.014	0.001	0.009	0.001	0.007	0.002	0.017	0	0.001	0.002	0.012	0	0.005	0	0.001	0.001	0.009	0.451	0.632
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Paludibacter	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0.003	0	0.002	0	0.002	0	0.003	0	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Parabacteroides	0.04	0.018	0.069	0.013	0.06	0.003	0.021	0.037	0.125	0.021	0.095	0.04	0.21	0.01	0.057	0.001	0.006	0.034	0.109	0.004	0.03	0.001	0.004	0.007	0.057	4.088	4.664
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas	4.717	3.041	3.796	2.764	3.2	3.093	4.971	3.267	3.218	3.781	4.192	3.111	3.603	3.748	4.389	3.55	4.524	4.717	4.254	3.044	3.458	2.676	3.002	3.411	3.914	0.006	0.023
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Tannerella	0.367	0.03	0.077	0.053	0.137	0.007	0.022	0.031	0.071	0.127	0.273	0.136	0.301	0.222	0.507	0.067	0.17	0.083	0.115	0.296	0.501	0.225	0.357	0.367	0.645	0	0.004
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;unclassified	0.584	0.117	0.324	0.073	0.17	0.233	0.699	0.046	0.102	0.083	0.158	0.037	0.071	0.109	0.268	0.052	0.09	0.132	0.201	0.413	0.892	0.243	0.499	0.584	1.284	0.696	2.181
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Hallella	0.013	0.001	0.003	0.001	0.006	0	0.001	0	0.003	0.007	0.053	0.008	0.073	0.012	0.105	0	0.001	0.007	0.031	0.008	0.039	0.003	0.019	0.013	0.058	0	0.003
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Paraprevotella	0.004	0.002	0.016	0.002	0.015	0	0.002	0.004	0.032	0.003	0.025	0.004	0.023	0.004	0.046	0.001	0.008	0.003	0.022	0	0.001	0	0.001	0	0.001	0.584	2.103
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella	12.981	3.664	3.23	2.375	2.756	0.93	1.383	7.688	5.549	11.562	7.339	11.613	7.181	11.395	8.679	10.259	6.362	12.981	7.136	5.626	5.958	3.213	4.139	8.039	7.777	3.163	9.571
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Xylanibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;unclassified	2.591	1.214	2.28	0.446	1.396	2.591	4.77	0.605	0.673	0.981	1.114	1.153	1.369	1.016	1.313	0.738	0.774	1.015	1	0.245	0.349	0.171	0.265	0.319	0.433	0.289	1.189
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes	0.027	0.014	0.068	0.009	0.028	0.007	0.065	0.027	0.11	0.013	0.071	0.026	0.185	0.006	0.036	0.001	0.003	0.018	0.061	0.005	0.041	0.001	0.004	0.009	0.079	5.511	6.234
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Rikenella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0.004
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;unclassified	0.001	0	0.002	0	0.002	0	0.001	0	0.004	0	0.002	0.001	0.005	0	0.001	0	0	0	0	0	0	0	0	0	0	0.144	0.438
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Capnocytophaga	8.869	0.607	1.217	1.024	1.954	0.428	1.155	0.367	0.542	1.252	1.948	1.068	2.448	1.585	2.646	0.644	1.258	1.712	1.44	8.216	5.317	8.869	5.347	7.562	5.287	0.003	0.019
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Chryseobacterium	0.001	0	0.003	0	0.002	0.001	0.006	0	0.002	0.001	0.006	0.001	0.009	0	0.003	0	0	0.001	0.01	0	0.002	0	0.001	0	0.002	0	0
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Cloacibacterium	0.02	0.01	0.057	0.02	0.118	0.005	0.027	0.005	0.026	0.002	0.014	0.006	0.048	0	0.001	0	0.002	0.001	0.004	0.002	0.016	0.001	0.006	0.003	0.025	0	0.001
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Elizabethkingia	0.002	0.001	0.004	0	0	0.002	0.011	0	0.002	0	0.002	0	0.001	0	0.004	0	0	0	0.002	0	0.001	0	0.001	0	0.001	0	0
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Flavobacterium	0.002	0	0.004	0.001	0.008	0	0.002	0	0.001	0.001	0.008	0.002	0.015	0	0.003	0	0	0.002	0.015	0	0.001	0	0	0	0.001	0	0
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Gillisia	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005	0	0	0.001	0.01	0	0
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Planobacterium	0.009	0.002	0.007	0.002	0.007	0.004	0.012	0	0.002	0.002	0.007	0.001	0.003	0.002	0.007	0.003	0.011	0.002	0.007	0.006	0.012	0.009	0.017	0.003	0.008	0	0
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Wautersiella	0.001	0	0	0	0	0	0	0	0	0	0.005	0.001	0.011	0	0	0.001	0.008	0	0	0	0	0	0	0	0	0	0
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;unclassified	1.268	0.615	0.979	0.76	1.681	0.848	1.047	0.236	0.209	0.395	0.548	0.364	0.663	0.388	0.504	0.223	0.318	0.605	0.707	1.136	1.021	1.268	1.015	1.003	1.027	0	0.002
Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales;Chitinophagaceae;Flavisolibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0.002	0	0
Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales;Chitinophagaceae;Sediminibacterium	0.001	0	0.001	0	0	0	0	0	0.004	0	0.003	0	0	0	0.001	0	0	0.001	0.012	0	0.001	0	0.001	0	0.002	0	0
Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales;Chitinophagaceae;unclassified	0.002	0	0.001	0	0	0	0.001	0	0.002	0.001	0.007	0.002	0.015	0.001	0.013	0	0	0	0.002	0	0	0	0	0	0	0	0
Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales;Cytophagaceae;Adhaeribacter	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales;Cytophagaceae;Hymenobacter	0	0	0	0	0	0	0	0	0	0	0.002	0	0.005	0	0	0	0	0	0.003	0	0	0	0	0	0	0	0
Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales;Cytophagaceae;unclassified	0	0	0	0	0	0	0	0	0.001	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales;Saprospiraceae;Haliscomenobacter	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales;Sphingobacteriaceae;Pedobacter	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0.006	0	0.002	0	0	0	0.004	0	0
Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales;Sphingobacteriaceae;Sphingobacterium	0.001	0	0	0	0	0	0	0	0	0	0.002	0	0.003	0	0.001	0	0	0.001	0.005	0	0.001	0	0	0	0.002	0.001	0.011
Bacteria;Bacteroidetes;Sphingobacteria;Sphingobacteriales;Sphingobacteriaceae;unclassified	0	0	0.001	0	0	0	0.004	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;unclassified	0.002	0	0.001	0	0.002	0	0	0	0	0	0.001	0	0.001	0.001	0.004	0	0	0	0.001	0.001	0.01	0.001	0.004	0.002	0.015	0	0
Bacteria;Chloroflexi;Thermomicrobia;Sphaerobacterales;Sphaerobacteraceae;Sphaerobacter	0	0	0	0	0.001	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Cyanobacteria;Cyanobacteria;Chloroplast;Chlorophyta;unclassified	0.001	0	0	0	0	0	0	0	0	0	0.003	0	0.004	0	0	0	0	0.001	0.008	0	0	0	0	0	0	0	0
Bacteria;Cyanobacteria;Cyanobacteria;Chloroplast;Streptophyta;unclassified	0.107	0.058	0.578	0.107	1.004	0.055	0.664	0.012	0.065	0.03	0.138	0.025	0.119	0.006	0.023	0.004	0.016	0.084	0.394	0.006	0.051	0.008	0.067	0.005	0.036	0.001	0.011
Bacteria;Deinococcus-Thermus;Deinococci;Deinococcales;Deinococcaceae;Deinococcus	0.002	0.001	0.012	0.002	0.022	0	0.002	0.001	0.01	0.001	0.007	0.002	0.019	0	0.002	0	0	0.001	0.008	0.001	0.01	0	0	0.002	0.02	0	0
Bacteria;Deinococcus-Thermus;Deinococci;Thermales;Thermaceae;Meiothermus	0	0	0.002	0	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Deinococcus-Thermus;Deinococci;Thermales;Thermaceae;Thermus	0	0	0.001	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Anoxybacillus	0.014	0	0.002	0	0.001	0	0	0.001	0.005	0.004	0.045	0	0.002	0	0	0	0	0.014	0.178	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus	0.006	0.001	0.005	0	0.004	0	0	0.002	0.012	0.002	0.02	0.001	0.01	0	0.003	0	0.001	0.006	0.064	0	0.001	0	0	0	0.002	0	0
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Exiguobacterium	0	0	0.001	0	0	0	0	0	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Geobacillus	0.015	0	0.001	0	0	0	0	0	0.003	0.004	0.047	0	0.001	0	0	0	0	0.015	0.186	0	0	0	0	0	0.001	0	0
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Lysinibacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0.005	0	0
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Tumebacillus	0.005	0.001	0.007	0.002	0.008	0	0.004	0.002	0.009	0.002	0.007	0.005	0.018	0.001	0.007	0	0.004	0	0	0.001	0.007	0	0	0.002	0.015	0	0
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;unclassified	0.007	0	0.002	0	0.001	0	0.001	0	0.005	0.002	0.025	0.002	0.017	0	0	0	0	0.007	0.083	0	0.005	0	0.001	0.001	0.008	0	0
Bacteria;Firmicutes;Bacilli;Bacillales;Listeriaceae;Brochothrix	0	0	0.001	0	0	0	0.002	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Bacilli;Bacillales;Listeriaceae;Listeria	0.001	0	0.004	0.001	0.005	0	0	0.001	0.007	0	0.001	0	0.001	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Cohnella	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus	0.001	0	0	0	0	0	0	0	0	0	0.003	0	0.001	0	0	0	0	0.001	0.013	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Saccharibacillus	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0.004	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Thermicanus	0.011	0	0	0	0	0	0	0	0	0.003	0.035	0	0	0	0	0	0	0.011	0.141	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;Planococcus	0	0	0.001	0	0.002	0	0	0	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;Planomicrobium	0	0	0.001	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;unclassified	0.001	0	0.003	0	0	0	0	0.001	0.008	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Gemella	7.267	5.222	5.071	7.267	6.547	4.364	4.205	4.035	4.461	1.558	1.611	2.237	2.496	2.218	2.434	0.935	0.861	0.843	0.653	0.657	1.329	0.613	1.228	0.701	1.43	0.007	0.053
Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Jeotgalicoccus	0	0	0.001	0	0	0	0	0	0.004	0	0.001	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Nosocomiicoccus	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0.003	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Salinicoccus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0.002	0	0	0	0
Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus	0.033	0.018	0.127	0.032	0.307	0.003	0.011	0.02	0.064	0.018	0.073	0.033	0.127	0.017	0.058	0.002	0.008	0.019	0.098	0.004	0.016	0.003	0.012	0.005	0.02	0.085	1.111
Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;unclassified	0	0	0.001	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001
Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Abiotrophia	0.359	0.163	0.429	0.309	0.683	0.089	0.354	0.09	0.25	0.054	0.183	0.05	0.187	0.026	0.072	0.019	0.121	0.119	0.351	0.313	0.681	0.359	0.726	0.267	0.635	0.001	0.004
Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Aerococcus	0.004	0.001	0.006	0	0	0	0.001	0.002	0.019	0.001	0.014	0	0	0	0	0	0	0.004	0.057	0	0	0	0	0	0.001	0	0.002
Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Facklamia	0	0	0	0	0.001	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0.001	0	0.002	0	0.001	0	0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;Globicatella	0	0	0	0	0	0	0	0	0.001	0	0.001	0	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Aerococcaceae;unclassified	0.008	0.003	0.011	0.006	0.02	0	0.002	0.002	0.01	0.002	0.012	0.002	0.013	0.001	0.008	0	0.001	0.005	0.024	0.007	0.027	0.008	0.028	0.006	0.027	0	0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Atopostipes	0	0	0.001	0	0.001	0	0.001	0	0	0	0.002	0	0.006	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Dolosigranulum	0.038	0	0.001	0	0	0	0	0	0.002	0.01	0.124	0.038	0.492	0	0.002	0	0.001	0	0.001	0	0.001	0	0.001	0	0.002	0	0.001
Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Granulicatella	2.23	1.8	1.78	1.168	1.288	2.23	2.712	2.004	1.34	1.418	1.166	1.256	0.997	1.189	1.189	2.198	1.679	1.029	0.801	0.422	0.487	0.436	0.462	0.408	0.512	0.002	0.008
Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;unclassified	0.035	0.013	0.024	0.008	0.019	0.007	0.019	0.022	0.035	0.02	0.03	0.015	0.028	0.016	0.025	0.035	0.047	0.014	0.021	0.007	0.016	0.007	0.015	0.006	0.018	0	0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus	0.001	0	0.002	0	0	0	0.001	0.001	0.006	0	0.003	0	0.003	0.001	0.004	0	0	0.001	0.004	0	0.001	0	0	0	0.002	0.003	0.036
Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Tetragenococcus	0	0	0	0	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;unclassified	0.002	0	0.002	0	0.001	0	0.003	0	0.002	0.001	0.003	0	0.002	0	0.003	0.002	0.008	0	0.001	0	0.001	0	0.002	0	0	0	0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus	0.155	0.025	0.185	0.018	0.066	0.004	0.01	0.052	0.477	0.053	0.331	0.155	1.018	0.01	0.065	0.014	0.073	0.035	0.166	0.047	0.551	0.011	0.067	0.083	1.034	0.016	0.095
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;unclassified	0	0	0	0	0	0	0	0	0	0	0.001	0	0.001	0	0	0	0	0	0.001	0	0.001	0	0.001	0	0.001	0	0.001
Bacteria;Firmicutes;Bacilli;Lactobacillales;Leuconostocaceae;Leuconostoc	0.002	0	0	0	0	0	0	0	0.001	0.001	0.007	0.002	0.025	0	0	0	0	0	0.004	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Leuconostocaceae;Weissella	0.022	0.003	0.045	0	0	0	0	0.01	0.134	0.006	0.072	0	0.001	0	0	0	0	0.022	0.286	0	0	0	0	0	0	0	0.004
Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus	0.027	0.002	0.012	0.004	0.022	0.001	0.008	0.001	0.005	0.009	0.067	0.003	0.029	0.002	0.017	0.002	0.013	0.027	0.209	0	0.002	0	0.002	0	0.002	0.001	0.007
Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Lactovum	0	0	0.001	0	0.002	0	0	0	0.002	0	0.001	0	0.001	0	0.001	0	0	0	0.001	0	0.002	0	0.001	0	0.002	0	0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus	52.152	47.322	17.887	52.152	16.392	47.989	20.607	41.825	16.662	20.356	13.888	25.221	17.057	23.873	17.466	19.587	13.318	12.744	7.711	12.952	9.163	14.392	9.232	11.512	9.094	0.065	0.374
Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;unclassified	0.002	0.002	0.006	0.002	0.007	0.002	0.006	0.001	0.004	0.001	0.004	0.001	0.003	0.002	0.006	0.001	0.003	0.001	0.004	0.001	0.004	0.001	0.003	0.001	0.006	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Alkaliphilus	0	0	0.001	0	0	0	0.001	0	0.001	0	0.001	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium	0.241	0.054	0.685	0.155	2.014	0	0.002	0.007	0.04	0.006	0.059	0.007	0.028	0.001	0.004	0	0.002	0.017	0.204	0.121	1.61	0	0.003	0.241	3.217	0.033	0.132
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;unclassified	0.001	0.001	0.007	0.001	0.013	0	0.002	0.001	0.006	0	0.002	0.001	0.004	0	0	0	0	0	0.003	0	0.005	0	0	0.001	0.009	0.003	0.011
Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Anaerofustis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003
Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Eubacterium	0.233	0.072	0.099	0.034	0.06	0.004	0.016	0.177	0.222	0.174	0.279	0.215	0.328	0.233	0.441	0.132	0.182	0.117	0.167	0.099	0.174	0.036	0.095	0.162	0.254	0.148	0.481
Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Pseudoramibacter	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0	0	0	0.002	0	0.003	0	0.002	0	0.004	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Gracilibacteraceae;Gracilibacter	0	0	0	0	0	0	0	0	0	0	0.001	0	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Gracilibacteraceae;unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004	0.025
Bacteria;Firmicutes;Clostridia;Clostridiales;Incertae_Sedis_XIII;Anaerovorax	0.037	0.003	0.011	0.002	0.011	0	0.002	0.006	0.019	0.016	0.051	0.01	0.034	0.01	0.029	0.007	0.02	0.037	0.118	0.006	0.027	0.001	0.009	0.01	0.045	0.023	0.038
Bacteria;Firmicutes;Clostridia;Clostridiales;Incertae_Sedis_XIII;Mogibacterium	0.188	0.053	0.071	0.021	0.034	0.002	0.01	0.137	0.169	0.136	0.19	0.188	0.316	0.132	0.176	0.136	0.159	0.089	0.111	0.016	0.034	0.008	0.02	0.024	0.049	0.002	0.016
Bacteria;Firmicutes;Clostridia;Clostridiales;Incertae_Sedis_XIII;unclassified	0.025	0.001	0.006	0.001	0.007	0	0	0.003	0.011	0.009	0.037	0.006	0.025	0.003	0.01	0.002	0.009	0.025	0.104	0	0.003	0	0.002	0.001	0.005	0.009	0.032
Bacteria;Firmicutes;Clostridia;Clostridiales;Incertae_Sedis_XIV;Blautia	0.01	0.005	0.023	0.004	0.014	0.001	0.006	0.01	0.049	0.004	0.017	0.008	0.027	0.003	0.022	0.001	0.007	0.004	0.013	0.001	0.011	0	0	0.002	0.023	0.765	0.956
Bacteria;Firmicutes;Clostridia;Clostridiales;Incertae_Sedis_XIV;Howardella	0.002	0	0.002	0	0.001	0	0	0.001	0.004	0.001	0.006	0.001	0.006	0.002	0.012	0	0.001	0.001	0.007	0.001	0.008	0.001	0.007	0.002	0.009	0.007	0.026
Bacteria;Firmicutes;Clostridia;Clostridiales;Incertae_Sedis_XI;Anaerococcus	0.006	0.002	0.027	0	0.003	0	0.002	0.006	0.075	0.001	0.004	0.001	0.006	0	0.004	0	0.001	0.001	0.005	0	0.001	0	0.001	0	0.001	0.001	0.007
