	comment	HMT	level	type	source	max Segata oral sites	max Dewhirst oral site	max Eren oral site	max any oral site	Abundance category	Eren et al. 2014 abundance data																				
Headers											BM		KG		HP		TD		PT		Throat		Saliva		SupP		SubP		Stool		
HOMD taxonomy											mean	prevalence	mean	prevalence	mean	prevalence	mean	prevalence	mean	prevalence	mean	prevalence	mean	prevalence	mean	prevalence	mean	prevalence	mean	prevalence	notes
Bacteria;Proteobacteria;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae;Helicobacter;pylori		812	Species						0	4																					
Bacteria;Proteobacteria;Gammaproteobacteria;Cardiobacteriales;Cardiobacteriaceae;Cardiobacterium;hominis		633	Species				0.063	0.166	0.165781055	2	0.006	16.883	0.01	6.494	0.005	15.584	0	1.299	0.002	3.896	0.002	3.896	0.006	14.286	0.166	75.325	0.132	70.13	0	0	
Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus;haemolyticus		851	Species				1.973	0.558	1.972742499	1	0.259	59.74	0.558	58.442	0.069	29.87	0.006	9.091	0.099	29.87	0.116	35.065	0.068	32.468	0.008	14.286	0.014	10.39	0	0	
Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus;influenzae		641	Species				0.047	1.063	1.06277495	1	0	0	0	0	0	0	0	0	0	1.299	1.063	2.597	0	1.299	0	0	0	0	0	0	
Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus;parahaemolyticus		945	Species				0.484	0.98	0.979905838	2	0.149	55.844	0.98	57.143	0.225	53.247	0.006	9.091	0.183	38.961	0.085	32.468	0.085	31.169	0.005	15.584	0.014	16.883	0	0	includes both H. parahaemolyticus and H. paraphrohaemolyticus
Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus;parainfluenzae		718	Species				9.2	3.46	9.199954723	1	2.47	96.104	3.46	94.805	1.725	98.701	2.579	93.506	1.583	92.208	1.328	92.208	2.471	94.805	2.131	88.312	1.075	80.519	0.011	18.182	
Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus;paraphrohaemolyticus		35	Species				0.669	0.98	0.979905838	2	0.149	55.844	0.98	57.143	0.225	53.247	0.006	9.091	0.183	38.961	0.085	32.468	0.085	31.169	0.005	15.584	0.014	16.883	0	0	includes both H. parahaemolyticus and H. paraphrohaemolyticus
Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus;pittmaniae		946	Species				0.115		0.115286538	2																					
Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus;sp. HMT 036		36	Species				3.023	1.306	3.022925712	1	0.334	76.623	1.306	80.519	0.082	55.844	0.004	7.792	0.022	35.065	0.026	29.87	0.085	48.052	0.011	19.481	0.016	20.779	0	0	
Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus;sp. HMT 259		259	Species	eHOMD expansion for skin and nasal taxa			0.046		0.045857171	3																					
Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus;sp. HMT 908		908	Species				0.187	0.129	0.187472148	2	0.129	29.87	0.115	33.766	0.006	10.39	0.001	1.299	0.019	5.195	0.006	7.792	0.01	12.987	0.004	3.896	0	2.597	0	0	
Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Haemophilus;sputorum		944	Species				0.174	0.054	0.173654849	2	0.054	29.87	0.016	12.987	0.018	19.481	0.01	15.584	0.022	24.675	0.018	20.779	0.04	16.883	0.003	6.494	0.001	2.597	0	0	
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Moraxella;catarrhalis		833	Species					0.2	0.199710186	2	0	0	0	0	0	0	0	0	0	1.299	0.2	6.494	0.025	1.299	0	0	0	0	0	0	also includes M. nonliquefaciens
Bacteria;Saccharibacteria (TM7);Saccharibacteria (TM7) [C-1]);Saccharibacteria (TM7) [O-1];Saccharibacteria (TM7) [F-1];Saccharibacteria (TM7) [G-1];bacterium HMT 346		346	Species				1.037	0.443	1.036714828	1	0.016	25.974	0.001	5.195	0.012	15.584	0.001	6.494	0.139	12.987	0.024	9.091	0.216	49.351	0.332	31.169	0.443	49.351	0.001	1.299	
Bacteria;Saccharibacteria (TM7);Saccharibacteria (TM7) [C-1]);Saccharibacteria (TM7) [O-1];Saccharibacteria (TM7) [F-1];Saccharibacteria (TM7) [G-1];bacterium HMT 347		347	Species				0.334	0.799	0.799143071	2	0.033	29.87	0.086	14.286	0.007	14.286	0.004	9.091	0.002	7.792	0.004	10.39	0.031	32.468	0.685	59.74	0.799	50.649	0	0	
Bacteria;Saccharibacteria (TM7);Saccharibacteria (TM7) [C-1]);Saccharibacteria (TM7) [O-1];Saccharibacteria (TM7) [F-1];Saccharibacteria (TM7) [G-1];bacterium HMT 348		348	Species				0.408	0.545	0.545253926	2	0.014	20.779	0.001	5.195	0.004	14.286	0.002	6.494	0.003	9.091	0.01	10.39	0.192	42.857	0.545	42.857	0.507	40.26	0	0	
Bacteria;Saccharibacteria (TM7);Saccharibacteria (TM7) [C-1]);Saccharibacteria (TM7) [O-1];Saccharibacteria (TM7) [F-1];Saccharibacteria (TM7) [G-1];bacterium HMT 349		349	Species				1.119	0.396	1.11873025	1	0.013	12.987	0	1.299	0.015	14.286	0.004	5.195	0.019	11.688	0.007	11.688	0.12	35.065	0.231	22.078	0.396	42.857	0.001	1.299	
Bacteria;Saccharibacteria (TM7);Saccharibacteria (TM7) [C-1]);Saccharibacteria (TM7) [O-1];Saccharibacteria (TM7) [F-1];Saccharibacteria (TM7) [G-1];bacterium HMT 352		352	Species				0.636	6.861	6.861193038	1	0.154	72.727	0.033	27.273	0.538	88.312	1.843	84.416	1.366	89.61	1.856	89.61	6.861	94.805	0.331	75.325	0.527	85.714	0.004	10.39	includes both Saccharibacteria sp. HMT 352 and sp. HMT 952, which cannot be distinguished with this data
Bacteria;Saccharibacteria (TM7);Saccharibacteria (TM7) [C-1]);Saccharibacteria (TM7) [O-1];Saccharibacteria (TM7) [F-1];Saccharibacteria (TM7) [G-1];bacterium HMT 353		353	Species						0	4																					
Bacteria;Saccharibacteria (TM7);Saccharibacteria (TM7) [C-1]);Saccharibacteria (TM7) [O-1];Saccharibacteria (TM7) [F-1];Saccharibacteria (TM7) [G-1];bacterium HMT 488		488	Species				0.039		0.038543634	3																					
Bacteria;Saccharibacteria (TM7);Saccharibacteria (TM7) [C-1]);Saccharibacteria (TM7) [O-1];Saccharibacteria (TM7) [F-1];Saccharibacteria (TM7) [G-1];bacterium HMT 869		869	Species				0.181		0.181013353	2																					
Bacteria;Saccharibacteria (TM7);Saccharibacteria (TM7) [C-1]);Saccharibacteria (TM7) [O-1];Saccharibacteria (TM7) [F-1];Saccharibacteria (TM7) [G-1];bacterium HMT 952		952	Species				0.419	6.861	6.861193038	1	0.154	72.727	0.033	27.273	0.538	88.312	1.843	84.416	1.366	89.61	1.856	89.61	6.861	94.805	0.331	75.325	0.527	85.714	0.004	10.39	includes both Saccharibacteria sp. HMT 352 and sp. HMT 952, which cannot be distinguished with this data
Bacteria;Saccharibacteria (TM7);Saccharibacteria (TM7) [C-1]);Saccharibacteria (TM7) [O-1];Saccharibacteria (TM7) [F-1];Saccharibacteria (TM7) [G-1];bacterium HMT 957		957	Species						0	4																					
Bacteria;Saccharibacteria (TM7);Saccharibacteria (TM7) [C-1]);Saccharibacteria (TM7) [O-1];Saccharibacteria (TM7) [F-1];Saccharibacteria (TM7) [G-2];bacterium HMT 350		350	Species				0.125		0.125491574	2																					
Bacteria;Saccharibacteria (TM7);Saccharibacteria (TM7) [C-1]);Saccharibacteria (TM7) [O-1];Saccharibacteria (TM7) [F-1];Saccharibacteria (TM7) [G-3];bacterium HMT 351		351	Species				0.059	4.246	4.246379517	1	0.025	40.26	0.005	7.792	0.111	70.13	0.195	74.026	0.232	77.922	0.306	81.818	4.246	96.104	0.024	20.779	0.04	24.675	0	0	
Bacteria;Saccharibacteria (TM7);Saccharibacteria (TM7) [C-1]);Saccharibacteria (TM7) [O-1];Saccharibacteria (TM7) [F-1];Saccharibacteria (TM7) [G-3];bacterium HMT 364		364	Species						0	4																					
Bacteria;Saccharibacteria (TM7);Saccharibacteria (TM7) [C-1]);Saccharibacteria (TM7) [O-1];Saccharibacteria (TM7) [F-1];Saccharibacteria (TM7) [G-3];bacterium HMT 367		367	Species						0	4																					
Bacteria;Saccharibacteria (TM7);Saccharibacteria (TM7) [C-1]);Saccharibacteria (TM7) [O-1];Saccharibacteria (TM7) [F-1];Saccharibacteria (TM7) [G-3];bacterium HMT 371		371	Species						0	4																					
Bacteria;Saccharibacteria (TM7);Saccharibacteria (TM7) [C-1]);Saccharibacteria (TM7) [O-1];Saccharibacteria (TM7) [F-1];Saccharibacteria (TM7) [G-4];bacterium HMT 355		355	Species				0.04		0.039887078	3																					
Bacteria;Saccharibacteria (TM7);Saccharibacteria (TM7) [C-1]);Saccharibacteria (TM7) [O-1];Saccharibacteria (TM7) [F-1];Saccharibacteria (TM7) [G-6];bacterium HMT 870		870	Species				0.066	0.39	0.389730683	2	0.036	41.558	0.007	12.987	0.053	54.545	0.098	57.143	0.124	45.455	0.143	51.948	0.39	68.831	0.072	25.974	0.044	16.883	0.001	3.896	
Bacteria;Saccharibacteria (TM7);Saccharibacteria (TM7) [C-1]);Saccharibacteria (TM7) [O-1];Saccharibacteria (TM7) [F-1];Saccharibacteria (TM7) [G-7];bacterium HMT 954		954	Species						0	4																					
Bacteria;Saccharibacteria (TM7);Saccharibacteria (TM7) [C-1]);Saccharibacteria (TM7) [O-1];Saccharibacteria (TM7) [F-1];Saccharibacteria (TM7) [G-7];bacterium HMT 986		986	Species	Non-Oral Ref					0	4																					
Bacteria;Saccharibacteria (TM7);Saccharibacteria (TM7) [C-1]);Saccharibacteria (TM7) [O-1];Saccharibacteria (TM7) [F-1];Saccharibacteria (TM7) [G-7];bacterium HMT 987		987	Species	Non-Oral Ref					0	4																					
Bacteria;Saccharibacteria (TM7);Saccharibacteria (TM7) [C-1]);Saccharibacteria (TM7) [O-1];Saccharibacteria (TM7) [F-1];Saccharibacteria (TM7) [G-7];bacterium HMT 989		989	Species	Non-Oral Ref					0	4																					
Bacteria;Saccharibacteria (TM7);Saccharibacteria (TM7) [C-1]);Saccharibacteria (TM7) [O-1];Saccharibacteria (TM7) [F-1];Saccharibacteria (TM7) [G-8];bacterium HMT 955		955	Species				0.071		0.070729199	3																					
Bacteria;Saccharibacteria (TM7);Saccharibacteria (TM7) [C-1]);Saccharibacteria (TM7) [O-1];Saccharibacteria (TM7) [F-2];Saccharibacteria (TM7) [G-5];bacterium HMT 356		356	Species				0.635	0.135	0.634837812	2	0.005	6.494	0	0	0.006	3.896	0.002	3.896	0.007	3.896	0.001	5.195	0.017	10.39	0.047	11.688	0.135	9.091	0	0	
Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Spirochaetaceae;Treponema;amylovorum		541	Species				0.015		0.015142522	3																					
Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Spirochaetaceae;Treponema;denticola		584	Species				0.193	0.304	0.303620844	2	0.003	7.792	0	1.299	0.001	5.195	0.001	1.299	0.184	29.87	0.029	9.091	0.038	25.974	0.05	14.286	0.304	27.273	0	0	
Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Spirochaetaceae;Treponema;lecithinolyticum		653	Species				0.105	0.09	0.105126492	2	0.003	7.792	0	0	0	1.299	0	0	0.023	10.39	0.003	5.195	0.016	16.883	0.016	12.987	0.09	23.377	0	0	
Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Spirochaetaceae;Treponema;maltophilum		664	Species				0.041	0.119	0.119373944	2	0.002	7.792	0	0	0.001	2.597	0	2.597	0.024	19.481	0.006	9.091	0.003	9.091	0.041	18.182	0.119	35.065	0	0	
Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Spirochaetaceae;Treponema;medium		667	Species				0.016	0.036	0.036062791	3	0.005	10.39	0	2.597	0.013	22.078	0.036	28.571	0.034	25.974	0.034	27.273	0.023	28.571	0.02	10.39	0.035	20.779	0	1.299	includes both T. medium and T. vincentii
Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Spirochaetaceae;Treponema;pallidum		805	Species						0	4																					
Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Spirochaetaceae;Treponema;parvum		724	Species						0	4																					
Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Spirochaetaceae;Treponema;pectinovorum		725	Species						0	4																					
Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Spirochaetaceae;Treponema;putidum		743	Species						0	4																					
Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Spirochaetaceae;Treponema;socranskii		769	Species				0.3	0.409	0.408989489	2	0.011	12.987	0	0	0.006	9.091	0.003	11.688	0.071	42.857	0.038	25.974	0.025	35.065	0.168	44.156	0.409	57.143	0	1.299	
Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Spirochaetaceae;Treponema;sp. HMT 226		226	Species					0.057	0.057043698	3	0.002	2.597	0	0	0.001	1.299	0	0	0	0	0.001	2.597	0.01	11.688	0.002	3.896	0.057	14.286	0	0	
Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Spirochaetaceae;Treponema;sp. HMT 227		227	Species						0	4																					
Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Spirochaetaceae;Treponema;sp. HMT 228		228	Species				0.008		0.008385912	4																					
Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Spirochaetaceae;Treponema;sp. HMT 230		230	Species				0.02	0.037	0.036875517	3	0.001	1.299	0	0	0	0	0	2.597	0.009	7.792	0	1.299	0.003	7.792	0.005	3.896	0.037	14.286	0	0	
Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Spirochaetaceae;Treponema;sp. HMT 231		231	Species				0.068	0.35	0.349619546	2	0.018	12.987	0	1.299	0.009	10.39	0.002	6.494	0.23	32.468	0.043	15.584	0.025	23.377	0.118	24.675	0.35	48.052	0	0	
Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Spirochaetaceae;Treponema;sp. HMT 232		232	Species						0	4																					
Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Spirochaetaceae;Treponema;sp. HMT 234		234	Species				0.017	0.062	0.062269242	3	0	1.299	0	0	0.001	2.597	0.001	2.597	0.001	2.597	0	0	0.017	10.39	0.005	3.896	0.062	14.286	0	0	
Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Spirochaetaceae;Treponema;sp. HMT 235		235	Species					0.009	0.008881398	4	0	2.597	0	0	0	0	0	0	0	0	0	1.299	0.006	2.597	0.003	2.597	0.009	2.597	0	0	
Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Spirochaetaceae;Treponema;sp. HMT 236		236	Species						0	4																					
Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Spirochaetaceae;Treponema;sp. HMT 237		237	Species				0.181	0.168	0.18095536	2	0.003	10.39	0	1.299	0.001	3.896	0.002	5.195	0.052	19.481	0.006	10.39	0.016	15.584	0.043	12.987	0.168	28.571	0	0	
Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Spirochaetaceae;Treponema;sp. HMT 238		238	Species				0.011	0.07	0.069927903	3	0.003	2.597	0	0	0.002	2.597	0.003	2.597	0.004	5.195	0	2.597	0.024	2.597	0.024	3.896	0.07	5.195	0	0	
Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Spirochaetaceae;Treponema;sp. HMT 253		253	Species				0.006	0.033	0.032661786	3	0.001	2.597	0	0	0	0	0	0	0.033	3.896	0	1.299	0.001	1.299	0.009	7.792	0.017	7.792	0	0	
Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Spirochaetaceae;Treponema;sp. HMT 254		254	Species						0	4																					
Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Spirochaetaceae;Treponema;sp. HMT 256		256	Species						0	4																					
Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Spirochaetaceae;Treponema;sp. HMT 257		257	Species				0.176	0.019	0.175698983	2	0.001	2.597	0	0	0.002	2.597	0.002	2.597	0.004	7.792	0	1.299	0.017	7.792	0.001	3.896	0.019	7.792	0	0	
Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Spirochaetaceae;Treponema;sp. HMT 258		258	Species				0.007		0.007197384	4																					
Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Spirochaetaceae;Treponema;sp. HMT 260		260	Species						0	4																					
Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Spirochaetaceae;Treponema;sp. HMT 262		262	Species				0.012	0.034	0.033526818	3	0.001	2.597	0	0	0	0	0.001	2.597	0.034	12.987	0.02	6.494	0.01	12.987	0.002	2.597	0.018	12.987	0	0	
Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Spirochaetaceae;Treponema;sp. HMT 263		263	Species						0	4																					
Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Spirochaetaceae;Treponema;sp. HMT 264		264	Species						0	4																					
Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Spirochaetaceae;Treponema;sp. HMT 265		265	Species						0	4																					
Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Spirochaetaceae;Treponema;sp. HMT 268		268	Species				0.018	0.068	0.067519495	3	0.001	3.896	0	0	0	1.299	0	0	0.001	2.597	0	0	0.001	5.195	0.028	7.792	0.068	23.377	0	0	
Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Spirochaetaceae;Treponema;sp. HMT 269		269	Species						0	4																					
Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Spirochaetaceae;Treponema;sp. HMT 270		270	Species				0.019	0.054	0.053723085	3	0	1.299	0	0	0	0	0	0	0.001	2.597	0	1.299	0.002	6.494	0.011	2.597	0.054	6.494	0	0	
Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Spirochaetaceae;Treponema;sp. HMT 951		951	Species					0.021	0.021386612	3	0	1.299	0	0	0.001	2.597	0	0	0.006	2.597	0	1.299	0.006	5.195	0.011	3.896	0.021	7.792	0	0	
Bacteria;Spirochaetes;Spirochaetia;Spirochaetales;Spirochaetaceae;Treponema;vincentii		29	Species				0.036	0.036	0.036062791	3	0.005	10.39	0	2.597	0.013	22.078	0.036	28.571	0.034	25.974	0.034	27.273	0.023	28.571	0.02	10.39	0.035	20.779	0	1.299	includes both T. medium and T. vincentii
