	comment	HMT	level	type	source	max Segata oral sites	max Dewhirst oral site	max Eren oral site	max any oral site	Abundance category	Eren et al. 2014 abundance data																				
Headers											BM		KG		HP		TD		PT		Throat		Saliva		SupP		SubP		Stool		
HOMD taxonomy											mean	prevalence	mean	prevalence	mean	prevalence	mean	prevalence	mean	prevalence	mean	prevalence	mean	prevalence	mean	prevalence	mean	prevalence	mean	prevalence	notes
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;pasteri		279	Species				6.05	4.207	6.04967015	1	2.247	97.403	1.312	81.818	3.016	93.506	3.913	89.61	3.047	89.61	2.479	89.61	4.207	90.909	1.196	74.026	1.281	76.623	0.003	10.39	
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;sp. HMT 275		275	Species				0.157	0.442	0.442448153	2	0.077	28.571	0.031	14.286	0.04	24.675	0.008	14.286	0.012	11.688	0.008	14.286	0.151	49.351	0.318	58.442	0.442	57.143	0	0	includes both P. sp. HMT 275 and P. sp. HMT 284
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;sp. HMT 277		277	Species				0.041	0.162	0.161506624	2	0.045	25.974	0.005	3.896	0.007	11.688	0.001	3.896	0.003	7.792	0.005	6.494	0.162	31.169	0.121	35.065	0.151	35.065	0	0	includes both P. sp. HMT 277 and P. sp. HMT 278
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;sp. HMT 278		278	Species				0.064	0.162	0.161506624	2	0.045	25.974	0.005	3.896	0.007	11.688	0.001	3.896	0.003	7.792	0.005	6.494	0.162	31.169	0.121	35.065	0.151	35.065	0	0	includes both P. sp. HMT 277 and P. sp. HMT 278
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;sp. HMT 284		284	Species				0.127	0.392	0.392485031	2	0.026	36.364	0.078	11.688	0.013	23.377	0.003	7.792	0.004	11.688	0.003	6.494	0.136	46.753	0.392	58.442	0.354	53.247	0	0	would add some from P. sp. HMT 275 + P. sp. HMT 284
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;sp. HMT 285		285	Species				0.06		0.059980755	3																					
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;sp. HMT 930		930	Species				0.058	2.467	2.467109287	1	0.582	42.857	2.467	50.649	0.213	46.753	0.009	19.481	0.153	41.558	0.097	31.169	0.106	40.26	0.034	29.87	0.033	29.87	0	1.299	
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;uenonis		785	Species						0	4																					
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Tannerella;forsythia		613	Species				0.261		0.261087247	2																					
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Tannerella;sp. HMT 286		286	Species				0.498	0.202	0.497569914	2	0.039	37.662	0.003	10.39	0.02	25.974	0.095	32.468	0.202	45.455	0.156	40.26	0.044	29.87	0.113	40.26	0.126	44.156	0	0	
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Tannerella;sp. HMT 808		808	Species				0.052		0.05232114	3																					
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Tannerella;sp. HMT 916		916	Species						0	4																					
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;rava		302	Species				0.17	0.12	0.169787122	2	0.004	11.688	0	0	0.024	16.883	0.03	16.883	0.078	27.273	0.12	32.468	0.07	27.273	0	0	0.002	5.195	0	0	
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;sp. HMT 308		308	Species				0.332	0.154	0.331508102	2	0.016	31.169	0.018	19.481	0.051	53.247	0.126	59.74	0.111	61.039	0.154	64.935	0.097	44.156	0.002	5.195	0.005	10.39	0	0	
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;sp. HMT 473		473	Species				0.932	3.702	3.701811784	1	0.35	48.052	3.702	59.74	0.168	51.948	0.113	41.558	0.17	55.844	0.194	54.545	0.218	54.545	0.032	15.584	0.028	24.675	0.001	2.597	
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;sp. HMT 912		912	Species				0.012		0.012032021	3																					
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;sp. HMT 913		913	Species				0.011		0.010757913	3																					
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;sp. HMT 914		914	Species				0.17	0.113	0.170292097	2	0.024	9.091	0.113	7.792	0.004	10.39	0.001	3.896	0.007	9.091	0.002	3.896	0.012	15.584	0.02	12.987	0.04	14.286	0	0	
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Alloprevotella;tannerae		466	Species				0.71	0.348	0.709882857	2	0.014	29.87	0.001	2.597	0.026	36.364	0.041	29.87	0.348	51.948	0.179	46.753	0.087	51.948	0.028	20.779	0.271	32.468	0	1.299	
