Taxonomy	Rank	HMT	Notes	Max	BMU-mean	BMU-10p	BMU-90p	BMU-sd	BMU-prev	HPA-mean	HPA-10p	HPA-90p	HPA-sd	HPA-prev	AKE-mean	AKE-10p	AKE-90p	AKE-sd	AKE-prev	PTO-mean	PTO-10p	PTO-90p	PTO-sd	PTO-prev	SUBP-mean	SUBP-10p	SUBP-90p	SUBP-sd	SUBP-prev	SUPP-mean	SUPP-10p	SUPP-90p	SUPP-sd	SUPP-prev	SAL-mean	SAL-10p	SAL-90p	SAL-sd	SAL-prev	TDO-mean	TDO-10p	TDO-90p	TDO-sd	TDO-prev	THR-mean	THR-10p	THR-90p	THR-sd	THR-prev	ANA-mean	ANA-10p	ANA-90p	ANA-sd	ANA-prev
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Filifactor	genus			0.206	0.032	0.0	0.094	0.105	28.571	0.011	0.0	0.019	0.036	32.143	0.003	0.0	0.002	0.013	11.628	0.206	0.0	0.413	0.691	38.71	0.103	0.0	0.086	0.397	27.027	0.002	0.0	0.006	0.007	20.588	0.004	0.0	0.014	0.011	26.0	0.001	0.0	0.0	0.002	10.0	0.016	0.0	0.04	0.042	30.303	0.0	0.0	0.0	0.0	0.0
Bacteria;Pseudomonadota;Gammaproteobacteria;Cardiobacteriales;Cardiobacteriaceae;Cardiobacterium	genus			0.103	0.003	0.0	0.01	0.005	51.429	0.017	0.0	0.03	0.047	46.429	0.002	0.0	0.005	0.006	32.558	0.003	0.0	0.002	0.016	12.903	0.076	0.0	0.147	0.199	71.622	0.103	0.001	0.291	0.139	88.235	0.003	0.0	0.008	0.005	42.0	0.0	0.0	0.0	0.001	5.0	0.004	0.0	0.002	0.024	15.152	0.0	0.0	0.0	0.0	0.0
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Brucellaceae;Brucella	genus			0.0	0.0	0.0	0.0	0.0	2.857	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.326	0.0	0.0	0.0	0.0	3.226	0.0	0.0	0.0	0.0	2.703	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptostreptococcaceae [G9 "Eubacterium"]	genus			0.517	0.055	0.0	0.143	0.127	60.0	0.028	0.0	0.089	0.064	50.0	0.012	0.0	0.034	0.03	41.86	0.229	0.0	0.758	0.614	67.742	0.517	0.0	1.319	1.13	72.973	0.088	0.0	0.155	0.203	64.706	0.022	0.0	0.051	0.053	56.0	0.002	0.0	0.007	0.004	25.0	0.049	0.0	0.105	0.139	60.606	0.0	0.0	0.0	0.0	0.0
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Afipia	genus			0.026	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	2.326	0.026	0.0	0.0	0.144	3.226	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter	genus			0.003	0.0	0.0	0.0	0.0	2.857	0.0	0.0	0.0	0.002	3.571	0.0	0.0	0.0	0.001	2.326	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	1.351	0.001	0.0	0.0	0.003	8.824	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.012	5.0
Bacteria;Bacillota;Erysipelotrichia;Erysipelotrichales;Coprobacillaceae;Eggerthia	genus			0.005	0.003	0.0	0.005	0.011	14.286	0.001	0.0	0.004	0.003	17.857	0.001	0.0	0.0	0.003	6.977	0.005	0.0	0.011	0.014	16.129	0.0	0.0	0.0	0.0	1.351	0.002	0.0	0.0	0.009	5.882	0.002	0.0	0.003	0.007	14.0	0.0	0.0	0.0	0.0	2.5	0.001	0.0	0.004	0.004	12.121	0.0	0.0	0.0	0.0	0.0
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia	genus			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	3.226	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	5.0
Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia	genus			0.035	0.0	0.0	0.0	0.002	8.571	0.0	0.0	0.0	0.001	7.143	0.0	0.0	0.0	0.001	4.651	0.035	0.0	0.0	0.192	6.452	0.001	0.0	0.0	0.004	6.757	0.0	0.0	0.0	0.002	2.941	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.5	0.0	0.0	0.0	0.001	3.03	0.0	0.0	0.0	0.0	0.0
Bacteria;Actinomycetota;Coriobacteriia;Eggerthellales;Eggerthellaceae;Cryptobacterium	genus			0.009	0.001	0.0	0.004	0.003	20.0	0.0	0.0	0.0	0.001	7.143	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.226	0.009	0.0	0.032	0.026	22.973	0.003	0.0	0.006	0.01	20.588	0.001	0.0	0.007	0.003	24.0	0.0	0.0	0.0	0.0	2.5	0.0	0.0	0.002	0.001	12.121	0.0	0.0	0.0	0.0	0.0
