HMT	Domain	Phylum	Class	Order	Family	Genus	Species
870	Bacteria	Saccharibacteria_(TM7)	Saccharibacteria_(TM7)_[C-1]	Saccharibacteria_(TM7)_[O-1]	Saccharibacteria_(TM7)_[F-1]	Saccharibacteria_(TM7)_[G-6]	bacterium_HMT_870
871	Bacteria	Gracilibacteria_(GN02)	Gracilibacteria_(GN02)_[C-1]	Gracilibacteria_(GN02)_[O-1]	Gracilibacteria_(GN02)_[F-1]	Gracilibacteria_(GN02)_[G-1]	bacterium_HMT_871
872	Bacteria	Gracilibacteria_(GN02)	Gracilibacteria_(GN02)_[C-1]	Gracilibacteria_(GN02)_[O-1]	Gracilibacteria_(GN02)_[F-1]	Gracilibacteria_(GN02)_[G-1]	bacterium_HMT_872
873	Bacteria	Gracilibacteria_(GN02)	Gracilibacteria_(GN02)_[C-2]	Gracilibacteria_(GN02)_[O-2]	Gracilibacteria_(GN02)_[F-2]	Gracilibacteria_(GN02)_[G-2]	bacterium_HMT_873
874	Bacteria	Absconditabacteria_(SR1)	Absconditabacteria_(SR1)_[C-1]	Absconditabacteria_(SR1)_[O-1]	Absconditabacteria_(SR1)_[F-1]	Absconditabacteria_(SR1)_[G-1]	bacterium_HMT_874
875	Bacteria	Absconditabacteria_(SR1)	Absconditabacteria_(SR1)_[C-1]	Absconditabacteria_(SR1)_[O-1]	Absconditabacteria_(SR1)_[F-1]	Absconditabacteria_(SR1)_[G-1]	bacterium_HMT_875
876	Bacteria	Firmicutes	Clostridia	Eubacteriales	Clostridiales_[F-3]	Clostridiales_[F-3][G-1]	bacterium_HMT_876
877	Bacteria	Actinobacteria	Actinomycetia	Actinomycetales	Actinomycetaceae	Schaalia	sp._HMT_877
878	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Capnocytophaga	sp._HMT_878
879	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Leptotrichia	sp._HMT_879
880	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	durans
881	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lentilactobacillus	buchneri
882	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	panis
883	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactiplantibacillus	pentosus
884	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lentilactobacillus	rapi
885	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	scopos
886	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	cristatus_clade_886
887	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	denticariosi
888	Bacteria	Actinobacteria	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinomyces	dentalis
889	Bacteria	Actinobacteria	Actinomycetia	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	breve
890	Bacteria	Actinobacteria	Actinomycetia	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	subtile
891	Bacteria	Actinobacteria	Actinomycetia	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	scardovii
892	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Selenomonadaceae	Selenomonas	sp._HMT_892
893	Bacteria	Actinobacteria	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinomyces	oris
894	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Ottowia	sp._HMT_894
895	Bacteria	Actinobacteria	Actinomycetia	Bifidobacteriales	Bifidobacteriaceae	Bifidobacterium	animalis
896	Bacteria	Actinobacteria	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinomyces	sp._HMT_896
897	Bacteria	Actinobacteria	Actinomycetia	Actinomycetales	Actinomycetaceae	Actinomyces	sp._HMT_897
898	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Aggregatibacter	sp._HMT_898
899	Bacteria	Bacteroidetes	Bacteroidetes_[C-1]	Bacteroidetes_[O-1]	Bacteroidetes_[F-1]	Bacteroidetes_[G-3]	bacterium_HMT_899
900	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Weeksellaceae	Weeksellaceae_[G-1]	sp._HMT_900
901	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Capnocytophaga	sp._HMT_901
902	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Capnocytophaga	sp._HMT_902
903	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Capnocytophaga	sp._HMT_903
904	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Erysipelotrichaceae_[G-1]	bacterium_HMT_904
905	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	Erysipelotrichaceae_[G-1]	bacterium_HMT_905
906	Bacteria	Tenericutes	Mollicutes	Mollicutes_[O-2]	Mollicutes_[F-2]	Mollicutes_[G-2]	bacterium_HMT_906
907	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Weeksellaceae	Weeksellaceae_[G-1]	sp._HMT_907
908	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	sp._HMT_908
909	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	Leptotrichia	sp._HMT_909
910	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Stomatobaculum	sp._HMT_910
911	Bacteria	Bacteroidetes	Bacteroidetes_[C-1]	Bacteroidetes_[O-1]	Bacteroidetes_[F-1]	Bacteroidetes_[G-7]	bacterium_HMT_911
912	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Alloprevotella	sp._HMT_912
913	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Alloprevotella	sp._HMT_913
914	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Alloprevotella	sp._HMT_914
915	Bacteria	Actinobacteria	Actinomycetia	Propionibacteriales	Propionibacteriaceae	Propionibacteriaceae_[G-1]	bacterium_HMT_915
916	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Tannerellaceae	Tannerella	sp._HMT_916
917	Bacteria	Firmicutes	Negativicutes	Veillonellales	Veillonellaceae	Veillonella	sp._HMT_917
918	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Selenomonadaceae	Veillonellaceae_[G-1]	bacterium_HMT_918
919	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Selenomonadaceae	Selenomonas	sp._HMT_919
920	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Selenomonadaceae	Selenomonas	sp._HMT_920
921	Bacteria	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	glucanolyticus
922	Bacteria	Firmicutes	Clostridia	Eubacteriales	Peptostreptococcaceae	Peptostreptococcaceae_[G-7]	bacterium_HMT_922
924	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Lachnospiraceae_[G-9]	bacterium_HMT_924
927	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	sp._HMT_927
928	Bacteria	Firmicutes	Bacilli	Bacillales	Gemellaceae	Gemella	sp._HMT_928
929	Bacteria	Firmicutes	Tissierellia	Tissierellales	Peptoniphilaceae	Peptoniphilaceae_[G-3]	bacterium_HMT_929
930	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	sp._HMT_930
931	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Weeksellaceae	Weeksellaceae_[G-1]	sp._HMT_931
932	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae	Kingella	sp._HMT_932
933	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter	sp._HMT_933
934	Bacteria	Firmicutes	Clostridia	Eubacteriales	Lachnospiraceae	Oribacterium	parvum
935	Bacteria	Firmicutes	Clostridia	Eubacteriales	Oscillospiraceae	Fastidiosipila	sanguinis
936	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Selenomonadaceae	Selenomonas	sp._HMT_936
937	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Selenomonadaceae	Selenomonas	sp._HMT_937
938	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	reuteri_clade_938
939	Bacteria	Actinobacteria	Coriobacteriia	Coriobacteriales	Atopobiaceae	Olsenella	sp._HMT_939
942	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	sp._HMT_942
943	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Prevotella	aurantiaca
944	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	sputorum
945	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	parahaemolyticus
946	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	pittmaniae
948	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	lactarius
949	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Aggregatibacter	sp._HMT_949
950	Bacteria	Firmicutes	Clostridia	Eubacteriales	Peptostreptococcaceae	Peptostreptococcaceae_[G-3]	bacterium_HMT_950
951	Bacteria	Spirochaetes	Spirochaetia	Spirochaetales	Treponemataceae	Treponema	sp._HMT_951
952	Bacteria	Saccharibacteria_(TM7)	Saccharibacteria_(TM7)_[C-1]	Saccharibacteria_(TM7)_[O-1]	Saccharibacteria_(TM7)_[F-1]	Saccharibacteria_(TM7)_[G-1]	bacterium_HMT_952
953	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	hwasookii
