D101	domain		Bacteria
S172	species	HMT-194	Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Arachnia;rubra
S173	species	HMT-739	Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Arachnia;propionica
G174	genus		Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Arcanobacterium
S174	species	HMT-811	Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Arcanobacterium;haemolyticum
O175	order		Bacteria;Actinomycetota;Actinomycetes;Micrococcales
F175	family		Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Intrasporangiaceae
G175	genus		Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Intrasporangiaceae;Arsenicicoccus
S175	species	HMT-190	Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Intrasporangiaceae;Arsenicicoccus;bolidensis
P176	phylum		Bacteria;Cyanobacteriota
C176	klass		Bacteria;Cyanobacteriota;Cyanophyceae
O176	order		Bacteria;Cyanobacteriota;Cyanophyceae;Oscillatoriales
F176	family		Bacteria;Cyanobacteriota;Cyanophyceae;Oscillatoriales;Microcoleaceae
G176	genus		Bacteria;Cyanobacteriota;Cyanophyceae;Oscillatoriales;Microcoleaceae;Arthrospira
S176	species	HMT-229	Bacteria;Cyanobacteriota;Cyanophyceae;Oscillatoriales;Microcoleaceae;Arthrospira;platensis
C177	klass		Bacteria;Actinomycetota;Coriobacteriia
O177	order		Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales
F177	family		Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae
G177	genus		Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Atopobium
S177	species	HMT-674	Bacteria;Actinomycetota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Atopobium;minutum
G178	genus		Bacteria;Bacillota;Bacilli;Bacillales;Bacillaceae;Bacillus
S178	species	HMT-468	Bacteria;Bacillota;Bacilli;Bacillales;Bacillaceae;Bacillus;subtilis
S179	species	HMT-824	Bacteria;Bacillota;Bacilli;Bacillales;Bacillaceae;Bacillus;anthracis
F180	family		Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidales_[F-2]
G180	genus		Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidales_[F-2];Bacteroidales_[G-2]
S180	species	HMT-274	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidales_[F-2];Bacteroidales_[G-2];bacterium_HMT_274
F181	family		Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae
G181	genus		Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides
S181	species	HMT-465	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;zoogleoformans
S182	species	HMT-630	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;heparinolyticus
S183	species	HMT-787	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;pyogenes
C184	klass		Bacteria;Bacteroidota;Bacteroidetes_[C-1]
O184	order		Bacteria;Bacteroidota;Bacteroidetes_[C-1];Bacteroidetes_[O-1]
F184	family		Bacteria;Bacteroidota;Bacteroidetes_[C-1];Bacteroidetes_[O-1];Bacteroidetes_[F-1]
G184	genus		Bacteria;Bacteroidota;Bacteroidetes_[C-1];Bacteroidetes_[O-1];Bacteroidetes_[F-1];Bacteroidetes_[G-3]
S184	species	HMT-280	Bacteria;Bacteroidota;Bacteroidetes_[C-1];Bacteroidetes_[O-1];Bacteroidetes_[F-1];Bacteroidetes_[G-3];bacterium_HMT_280
S185	species	HMT-281	Bacteria;Bacteroidota;Bacteroidetes_[C-1];Bacteroidetes_[O-1];Bacteroidetes_[F-1];Bacteroidetes_[G-3];bacterium_HMT_281
S186	species	HMT-365	Bacteria;Bacteroidota;Bacteroidetes_[C-1];Bacteroidetes_[O-1];Bacteroidetes_[F-1];Bacteroidetes_[G-3];bacterium_HMT_365
S187	species	HMT-436	Bacteria;Bacteroidota;Bacteroidetes_[C-1];Bacteroidetes_[O-1];Bacteroidetes_[F-1];Bacteroidetes_[G-3];bacterium_HMT_436
S188	species	HMT-503	Bacteria;Bacteroidota;Bacteroidetes_[C-1];Bacteroidetes_[O-1];Bacteroidetes_[F-1];Bacteroidetes_[G-3];bacterium_HMT_503
S189	species	HMT-899	Bacteria;Bacteroidota;Bacteroidetes_[C-1];Bacteroidetes_[O-1];Bacteroidetes_[F-1];Bacteroidetes_[G-3];bacterium_HMT_899
G190	genus		Bacteria;Bacteroidota;Bacteroidetes_[C-1];Bacteroidetes_[O-1];Bacteroidetes_[F-1];Bacteroidetes_[G-4]
S190	species	HMT-509	Bacteria;Bacteroidota;Bacteroidetes_[C-1];Bacteroidetes_[O-1];Bacteroidetes_[F-1];Bacteroidetes_[G-4];bacterium_HMT_509
G191	genus		Bacteria;Bacteroidota;Bacteroidetes_[C-1];Bacteroidetes_[O-1];Bacteroidetes_[F-1];Bacteroidetes_[G-5]
S191	species	HMT-505	Bacteria;Bacteroidota;Bacteroidetes_[C-1];Bacteroidetes_[O-1];Bacteroidetes_[F-1];Bacteroidetes_[G-5];bacterium_HMT_505
S192	species	HMT-507	Bacteria;Bacteroidota;Bacteroidetes_[C-1];Bacteroidetes_[O-1];Bacteroidetes_[F-1];Bacteroidetes_[G-5];bacterium_HMT_507
S193	species	HMT-511	Bacteria;Bacteroidota;Bacteroidetes_[C-1];Bacteroidetes_[O-1];Bacteroidetes_[F-1];Bacteroidetes_[G-5];bacterium_HMT_511
G194	genus		Bacteria;Bacteroidota;Bacteroidetes_[C-1];Bacteroidetes_[O-1];Bacteroidetes_[F-1];Bacteroidetes_[G-7]
S194	species	HMT-911	Bacteria;Bacteroidota;Bacteroidetes_[C-1];Bacteroidetes_[O-1];Bacteroidetes_[F-1];Bacteroidetes_[G-7];bacterium_HMT_911
F195	family		Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Bartonellaceae
G195	genus		Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Bartonellaceae;Bartonella
S195	species	HMT-001	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Bartonellaceae;Bartonella;schoenbuchensis
P196	phylum		Bacteria;Bdellovibrionota
C196	klass		Bacteria;Bdellovibrionota;Bdellovibrionia
O196	order		Bacteria;Bdellovibrionota;Bdellovibrionia;Bdellovibrionales
F196	family		Bacteria;Bdellovibrionota;Bdellovibrionia;Bdellovibrionales;Pseudobdellovibrionaceae
G196	genus		Bacteria;Bdellovibrionota;Bdellovibrionia;Bdellovibrionales;Pseudobdellovibrionaceae;Bdellovibrio
S196	species	HMT-039	Bacteria;Bdellovibrionota;Bdellovibrionia;Bdellovibrionales;Pseudobdellovibrionaceae;Bdellovibrio;sp._HMT_039
G197	genus		Bacteria;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium
S197	species	HMT-588	Bacteria;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;dentium
S198	species	HMT-862	Bacteria;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;longum
S199	species	HMT-889	Bacteria;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;breve
S200	species	HMT-890	Bacteria;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;subtile
S201	species	HMT-891	Bacteria;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;scardovii
S202	species	HMT-895	Bacteria;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;animalis
G203	genus		Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Bordetella
S203	species	HMT-828	Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Bordetella;pertussis
F204	family		Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Boseaceae
G204	genus		Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Boseaceae;Bosea
S204	species	HMT-636	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Boseaceae;Bosea;vestrisii
G205	genus		Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium
S205	species	HMT-597	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium;elkanii
F206	family		Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Brevibacteriaceae
G206	genus		Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Brevibacteriaceae;Brevibacterium
S206	species	HMT-340	Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Brevibacteriaceae;Brevibacterium;paucivorans
O207	order		Bacteria;Pseudomonadota;Alphaproteobacteria;Caulobacterales
F207	family		Bacteria;Pseudomonadota;Alphaproteobacteria;Caulobacterales;Caulobacteraceae
G207	genus		Bacteria;Pseudomonadota;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Brevundimonas
S207	species	HMT-590	Bacteria;Pseudomonadota;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Brevundimonas;diminuta
F208	family		Bacteria;Bacillota;Bacilli;Bacillales;Listeriaceae
G208	genus		Bacteria;Bacillota;Bacilli;Bacillales;Listeriaceae;Brochothrix
S208	species	HMT-241	Bacteria;Bacillota;Bacilli;Bacillales;Listeriaceae;Brochothrix;thermosphacta
F209	family		Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Brucellaceae
G209	genus		Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Brucellaceae;Brucella
S209	species	HMT-544	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Brucellaceae;Brucella;anthropi
C210	klass		Bacteria;Bacillota;Erysipelotrichia
O210	order		Bacteria;Bacillota;Erysipelotrichia;Erysipelotrichales
F210	family		Bacteria;Bacillota;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae
G210	genus		Bacteria;Bacillota;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Bulleidia
S210	species	HMT-603	Bacteria;Bacillota;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Bulleidia;extructa
F211	family		Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae
G211	genus		Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia
S211	species	HMT-571	Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia;cepacia
C212	klass		Bacteria;Bacillota;Clostridia
O212	order		Bacteria;Bacillota;Clostridia;Eubacteriales
F212	family		Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae
G212	genus		Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Butyrivibrio
S212	species	HMT-080	Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Butyrivibrio;sp._HMT_080
S213	species	HMT-090	Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Butyrivibrio;sp._HMT_090
S214	species	HMT-455	Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Butyrivibrio;sp._HMT_455
C215	klass		Bacteria;Chloroflexota;Caldilineae
