D101	domain		Bacteria
S632	species	HMT-396	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;sp._HMT_396
S633	species	HMT-443	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;sp._HMT_443
S634	species	HMT-469	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;melaninogenica
S635	species	HMT-526	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;Koreensis (NVP)
S636	species	HMT-556	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;bivia
S637	species	HMT-572	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;veroralis
S638	species	HMT-643	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;intermedia
S639	species	HMT-685	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;multiformis
S640	species	HMT-693	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;nigrescens
S641	species	HMT-714	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;pallens
S642	species	HMT-782	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;fusca
S643	species	HMT-885	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;scopos
S644	species	HMT-943	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;aurantiaca
G645	genus		Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Propionibacteriaceae_[G-1]
S645	species	HMT-915	Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Propionibacteriaceae_[G-1];bacterium_HMT_915
G646	genus		Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Propionibacteriaceae_[G-2]
S646	species	HMT-192	Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Propionibacteriaceae_[G-2];bacterium_HMT_192
G647	genus		Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Propionibacterium
S647	species	HMT-191	Bacteria;Actinomycetota;Actinomycetes;Propionibacteriales;Propionibacteriaceae;Propionibacterium;acidifaciens
F648	family		Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Morganellaceae
G648	genus		Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Morganellaceae;Proteus
S648	species	HMT-676	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Morganellaceae;Proteus;mirabilis
G649	genus		Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Pseudoleptotrichia
S649	species	HMT-212	Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Pseudoleptotrichia;sp._HMT_212
S650	species	HMT-215	Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Pseudoleptotrichia;sp._HMT_215
S651	species	HMT-217	Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Pseudoleptotrichia;sp._HMT_217
S652	species	HMT-219	Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Pseudoleptotrichia;sp._HMT_219
S653	species	HMT-392	Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Pseudoleptotrichia;sp._HMT_392
S654	species	HMT-845	Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Pseudoleptotrichia;goodfellowii
O655	order		Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales
F655	family		Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae
G655	genus		Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas
S655	species	HMT-032	Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;sp._HMT_032
S656	species	HMT-344	Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;luteola
S657	species	HMT-536	Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;aeruginosa
S658	species	HMT-612	Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;fluorescens
S659	species	HMT-740	Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;oleovorans
S660	species	HMT-834	Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;otitidis
G661	genus		Bacteria;Bacillota;Clostridia;Eubacteriales;Eubacteriaceae;Pseudoramibacter
S661	species	HMT-538	Bacteria;Bacillota;Clostridia;Eubacteriales;Eubacteriaceae;Pseudoramibacter;alactolyticus
G662	genus		Bacteria;Synergistota;Synergistia;Synergistales;Dethiosulfovibrionaceae;Pyramidobacter
S662	species	HMT-357	Bacteria;Synergistota;Synergistia;Synergistales;Dethiosulfovibrionaceae;Pyramidobacter;piscolens
G663	genus		Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Ralstonia
S663	species	HMT-406	Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Ralstonia;sp._HMT_406
S664	species	HMT-854	Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Ralstonia;pickettii
G665	genus		Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Rhodobacter
S665	species	HMT-857	Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodobacterales;Paracoccaceae;Rhodobacter;capsulatus
G666	genus		Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Rhodopseudomonas
S666	species	HMT-652	Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Rhodopseudomonas;telluris
G667	genus		Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Riemerella
S667	species	HMT-322	Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Riemerella;sp._HMT_322
O668	order		Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodospirillales
F668	family		Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae
G668	genus		Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Roseomonas
S668	species	HMT-244	Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Roseomonas;gilardii
S669	species	HMT-245	Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Roseomonas;mucosa
G670	genus		Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Rothia
S670	species	HMT-188	Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Rothia;aeria
S671	species	HMT-587	Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Rothia;dentocariosa
S672	species	HMT-681	Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Rothia;mucilaginosa
G673	genus		Bacteria;Candidatus_Saccharibacteria;Saccharibacteria_(TM7)_[C-1];Saccharibacteria_(TM7)_[O-1];Saccharibacteria_(TM7)_[F-1];Saccharibacteria_(TM7)_[G-1]
S673	species	HMT-346	Bacteria;Candidatus_Saccharibacteria;Saccharibacteria_(TM7)_[C-1];Saccharibacteria_(TM7)_[O-1];Saccharibacteria_(TM7)_[F-1];Saccharibacteria_(TM7)_[G-1];bacterium_HMT_346
S674	species	HMT-347	Bacteria;Candidatus_Saccharibacteria;Saccharibacteria_(TM7)_[C-1];Saccharibacteria_(TM7)_[O-1];Saccharibacteria_(TM7)_[F-1];Saccharibacteria_(TM7)_[G-1];bacterium_HMT_347
S675	species	HMT-348	Bacteria;Candidatus_Saccharibacteria;Saccharibacteria_(TM7)_[C-1];Saccharibacteria_(TM7)_[O-1];Saccharibacteria_(TM7)_[F-1];Saccharibacteria_(TM7)_[G-1];bacterium_HMT_348
S676	species	HMT-349	Bacteria;Candidatus_Saccharibacteria;Saccharibacteria_(TM7)_[C-1];Saccharibacteria_(TM7)_[O-1];Saccharibacteria_(TM7)_[F-1];Saccharibacteria_(TM7)_[G-1];bacterium_HMT_349
S677	species	HMT-352	Bacteria;Candidatus_Saccharibacteria;Saccharibacteria_(TM7)_[C-1];Saccharibacteria_(TM7)_[O-1];Saccharibacteria_(TM7)_[F-1];Saccharibacteria_(TM7)_[G-1];bacterium_HMT_352
S678	species	HMT-353	Bacteria;Candidatus_Saccharibacteria;Saccharibacteria_(TM7)_[C-1];Saccharibacteria_(TM7)_[O-1];Saccharibacteria_(TM7)_[F-1];Saccharibacteria_(TM7)_[G-1];bacterium_HMT_353
S679	species	HMT-488	Bacteria;Candidatus_Saccharibacteria;Saccharibacteria_(TM7)_[C-1];Saccharibacteria_(TM7)_[O-1];Saccharibacteria_(TM7)_[F-1];Saccharibacteria_(TM7)_[G-1];bacterium_HMT_488
S680	species	HMT-869	Bacteria;Candidatus_Saccharibacteria;Saccharibacteria_(TM7)_[C-1];Saccharibacteria_(TM7)_[O-1];Saccharibacteria_(TM7)_[F-1];Saccharibacteria_(TM7)_[G-1];bacterium_HMT_869
S681	species	HMT-952	Bacteria;Candidatus_Saccharibacteria;Saccharibacteria_(TM7)_[C-1];Saccharibacteria_(TM7)_[O-1];Saccharibacteria_(TM7)_[F-1];Saccharibacteria_(TM7)_[G-1];bacterium_HMT_952
S682	species	HMT-957	Bacteria;Candidatus_Saccharibacteria;Saccharibacteria_(TM7)_[C-1];Saccharibacteria_(TM7)_[O-1];Saccharibacteria_(TM7)_[F-1];Saccharibacteria_(TM7)_[G-1];bacterium_HMT_957
G683	genus		Bacteria;Candidatus_Saccharibacteria;Saccharibacteria_(TM7)_[C-1];Saccharibacteria_(TM7)_[O-1];Saccharibacteria_(TM7)_[F-1];Saccharibacteria_(TM7)_[G-2]
S683	species	HMT-350	Bacteria;Candidatus_Saccharibacteria;Saccharibacteria_(TM7)_[C-1];Saccharibacteria_(TM7)_[O-1];Saccharibacteria_(TM7)_[F-1];Saccharibacteria_(TM7)_[G-2];bacterium_HMT_350
G684	genus		Bacteria;Candidatus_Saccharibacteria;Saccharibacteria_(TM7)_[C-1];Saccharibacteria_(TM7)_[O-1];Saccharibacteria_(TM7)_[F-1];Saccharibacteria_(TM7)_[G-3]
S684	species	HMT-351	Bacteria;Candidatus_Saccharibacteria;Saccharibacteria_(TM7)_[C-1];Saccharibacteria_(TM7)_[O-1];Saccharibacteria_(TM7)_[F-1];Saccharibacteria_(TM7)_[G-3];bacterium_HMT_351
S685	species	HMT-364	Bacteria;Candidatus_Saccharibacteria;Saccharibacteria_(TM7)_[C-1];Saccharibacteria_(TM7)_[O-1];Saccharibacteria_(TM7)_[F-1];Saccharibacteria_(TM7)_[G-3];bacterium_HMT_364
S686	species	HMT-367	Bacteria;Candidatus_Saccharibacteria;Saccharibacteria_(TM7)_[C-1];Saccharibacteria_(TM7)_[O-1];Saccharibacteria_(TM7)_[F-1];Saccharibacteria_(TM7)_[G-3];bacterium_HMT_367
S687	species	HMT-371	Bacteria;Candidatus_Saccharibacteria;Saccharibacteria_(TM7)_[C-1];Saccharibacteria_(TM7)_[O-1];Saccharibacteria_(TM7)_[F-1];Saccharibacteria_(TM7)_[G-3];bacterium_HMT_371
G688	genus		Bacteria;Candidatus_Saccharibacteria;Saccharibacteria_(TM7)_[C-1];Saccharibacteria_(TM7)_[O-1];Saccharibacteria_(TM7)_[F-1];Saccharibacteria_(TM7)_[G-4]
S688	species	HMT-355	Bacteria;Candidatus_Saccharibacteria;Saccharibacteria_(TM7)_[C-1];Saccharibacteria_(TM7)_[O-1];Saccharibacteria_(TM7)_[F-1];Saccharibacteria_(TM7)_[G-4];bacterium_HMT_355
F689	family		Bacteria;Candidatus_Saccharibacteria;Saccharibacteria_(TM7)_[C-1];Saccharibacteria_(TM7)_[O-1];Saccharibacteria_(TM7)_[F-2]
G689	genus		Bacteria;Candidatus_Saccharibacteria;Saccharibacteria_(TM7)_[C-1];Saccharibacteria_(TM7)_[O-1];Saccharibacteria_(TM7)_[F-2];Saccharibacteria_(TM7)_[G-5]
S689	species	HMT-356	Bacteria;Candidatus_Saccharibacteria;Saccharibacteria_(TM7)_[C-1];Saccharibacteria_(TM7)_[O-1];Saccharibacteria_(TM7)_[F-2];Saccharibacteria_(TM7)_[G-5];bacterium_HMT_356
G690	genus		Bacteria;Candidatus_Saccharibacteria;Saccharibacteria_(TM7)_[C-1];Saccharibacteria_(TM7)_[O-1];Saccharibacteria_(TM7)_[F-1];Saccharibacteria_(TM7)_[G-6]
S690	species	HMT-870	Bacteria;Candidatus_Saccharibacteria;Saccharibacteria_(TM7)_[C-1];Saccharibacteria_(TM7)_[O-1];Saccharibacteria_(TM7)_[F-1];Saccharibacteria_(TM7)_[G-6];bacterium_HMT_870
G691	genus		Bacteria;Candidatus_Saccharibacteria;Saccharibacteria_(TM7)_[C-1];Saccharibacteria_(TM7)_[O-1];Saccharibacteria_(TM7)_[F-1];Saccharibacteria_(TM7)_[G-7]
S691	species	HMT-954	Bacteria;Candidatus_Saccharibacteria;Saccharibacteria_(TM7)_[C-1];Saccharibacteria_(TM7)_[O-1];Saccharibacteria_(TM7)_[F-1];Saccharibacteria_(TM7)_[G-7];bacterium_HMT_954
S692	species	HMT-986	Bacteria;Candidatus_Saccharibacteria;Saccharibacteria_(TM7)_[C-1];Saccharibacteria_(TM7)_[O-1];Saccharibacteria_(TM7)_[F-1];Saccharibacteria_(TM7)_[G-7];bacterium_HMT_986
S693	species	HMT-987	Bacteria;Candidatus_Saccharibacteria;Saccharibacteria_(TM7)_[C-1];Saccharibacteria_(TM7)_[O-1];Saccharibacteria_(TM7)_[F-1];Saccharibacteria_(TM7)_[G-7];bacterium_HMT_987
S694	species	HMT-989	Bacteria;Candidatus_Saccharibacteria;Saccharibacteria_(TM7)_[C-1];Saccharibacteria_(TM7)_[O-1];Saccharibacteria_(TM7)_[F-1];Saccharibacteria_(TM7)_[G-7];bacterium_HMT_989
G695	genus		Bacteria;Candidatus_Saccharibacteria;Saccharibacteria_(TM7)_[C-1];Saccharibacteria_(TM7)_[O-1];Saccharibacteria_(TM7)_[F-1];Saccharibacteria_(TM7)_[G-8]
S695	species	HMT-955	Bacteria;Candidatus_Saccharibacteria;Saccharibacteria_(TM7)_[C-1];Saccharibacteria_(TM7)_[O-1];Saccharibacteria_(TM7)_[F-1];Saccharibacteria_(TM7)_[G-8];bacterium_HMT_955
F696	family		Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Sanguibacteraceae
G696	genus		Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Sanguibacteraceae;Sanguibacter
S696	species	HMT-856	Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Sanguibacteraceae;Sanguibacter;keddieii
G697	genus		Bacteria;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Scardovia
S697	species	HMT-195	Bacteria;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Scardovia;wiggsiae
S698	species	HMT-642	Bacteria;Actinomycetota;Actinomycetes;Bifidobacteriales;Bifidobacteriaceae;Scardovia;inopinata
G699	genus		Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Schaalia
S699	species	HMT-172	Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Schaalia;sp._HMT_172
S700	species	HMT-178	Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Schaalia;sp._HMT_178
S701	species	HMT-180	Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Schaalia;sp._HMT_180
S702	species	HMT-181	Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Schaalia;lingnae
S703	species	HMT-617	Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Schaalia;georgiae
S704	species	HMT-671	Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Schaalia;meyeri
S705	species	HMT-701	Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Schaalia;odontolytica
S706	species	HMT-850	Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Schaalia;cardiffensis
S707	species	HMT-877	Bacteria;Actinomycetota;Actinomycetes;Actinomycetales;Actinomycetaceae;Schaalia;sp._HMT_877
G708	genus		Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Schlegelella
S708	species	HMT-024	Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Schlegelella;thermodepolymerans
S709	species	HMT-026	Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Comamonadaceae;Schlegelella;aquatica
G710	genus		Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella
S710	species	HMT-288	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella;oulorum
S711	species	HMT-289	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella;maculosa
S712	species	HMT-300	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella;sp._HMT_300
S713	species	HMT-305	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella;sp._HMT_305
S714	species	HMT-307	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella;salivae
S715	species	HMT-309	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella;sp._HMT_309
S716	species	HMT-311	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella;oris
S717	species	HMT-553	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella;baroniae
S718	species	HMT-560	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella;buccae
S719	species	HMT-820	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Segatella;sp._HMT_820
G720	genus		Bacteria;Bacteroidota;Chitinophagia;Chitinophagales;Chitinophagaceae;Segetibacter
S720	species	HMT-261	Bacteria;Bacteroidota;Chitinophagia;Chitinophagales;Chitinophagaceae;Segetibacter;aerophilus
G721	genus		Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Selenomonas
S721	species	HMT-124	Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Selenomonas;artemidis
S722	species	HMT-125	Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Selenomonas;flueggei
S723	species	HMT-126	Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Selenomonas;sp._HMT_126
S724	species	HMT-130	Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Selenomonas;noxia
S725	species	HMT-133	Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Selenomonas;sp._HMT_133
S726	species	HMT-134	Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Selenomonas;sp._HMT_134
S727	species	HMT-136	Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Selenomonas;sp._HMT_136
S728	species	HMT-137	Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Selenomonas;sp._HMT_137
S729	species	HMT-138	Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Selenomonas;sp._HMT_138
S730	species	HMT-139	Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Selenomonas;dianae
S731	species	HMT-146	Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Selenomonas;sp._HMT_146
S732	species	HMT-149	Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Selenomonas;sp._HMT_149
S733	species	HMT-151	Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Selenomonas;sputigena
S734	species	HMT-388	Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Selenomonas;sp._HMT_388
S735	species	HMT-442	Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Selenomonas;sp._HMT_442
S736	species	HMT-478	Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Selenomonas;sp._HMT_478
S737	species	HMT-479	Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Selenomonas;sp._HMT_479
S738	species	HMT-481	Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Selenomonas;sp._HMT_481
S739	species	HMT-501	Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Selenomonas;sp._HMT_501
S740	species	HMT-639	Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Selenomonas;infelix
S741	species	HMT-892	Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Selenomonas;sp._HMT_892
S742	species	HMT-919	Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Selenomonas;sp._HMT_919
S743	species	HMT-920	Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Selenomonas;sp._HMT_920
S744	species	HMT-936	Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Selenomonas;sp._HMT_936
S745	species	HMT-937	Bacteria;Bacillota;Negativicutes;Selenomonadales;Selenomonadaceae;Selenomonas;sp._HMT_937
F746	family		Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Yersiniaceae
G746	genus		Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Yersiniaceae;Serratia
S746	species	HMT-115	Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Yersiniaceae;Serratia;marcescens
G747	genus		Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Shuttleworthia
S747	species	HMT-095	Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Shuttleworthia;satelles
G748	genus		Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Simonsiella
S748	species	HMT-683	Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Simonsiella;muelleri
G749	genus		Bacteria;Actinomycetota;Coriobacteriia;Eggerthellales;Eggerthellaceae;Slackia
S749	species	HMT-602	Bacteria;Actinomycetota;Coriobacteriia;Eggerthellales;Eggerthellaceae;Slackia;exigua
G750	genus		Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Sneathia
S750	species	HMT-837	Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Sneathia;sanguinegens
S751	species	HMT-844	Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Sneathia;vaginalis
G752	genus		Bacteria;Bacillota;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Solobacterium
S752	species	HMT-678	Bacteria;Bacillota;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Solobacterium;moorei
G753	genus		Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas
S753	species	HMT-003	Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;glacialis
S754	species	HMT-004	Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;sp._HMT_004
G755	genus		Bacteria;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus
S755	species	HMT-076	Bacteria;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;warneri
S756	species	HMT-116	Bacteria;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;capitis
S757	species	HMT-117	Bacteria;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;cohnii
S758	species	HMT-120	Bacteria;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;haemolyticus
S759	species	HMT-127	Bacteria;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;hominis
S760	species	HMT-128	Bacteria;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;lugdunensis
S761	species	HMT-141	Bacteria;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;pasteuri
S762	species	HMT-142	Bacteria;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;pettenkoferi
S763	species	HMT-233	Bacteria;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;schleiferi
S764	species	HMT-331	Bacteria;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;auricularis
S765	species	HMT-550	Bacteria;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;aureus
S766	species	HMT-567	Bacteria;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;caprae
S767	species	HMT-601	Bacteria;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;epidermidis
O768	order		Bacteria;Pseudomonadota;Gammaproteobacteria;Xanthomonadales
F768	family		Bacteria;Pseudomonadota;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae
G768	genus		Bacteria;Pseudomonadota;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Stenotrophomonas
S768	species	HMT-037	Bacteria;Pseudomonadota;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Stenotrophomonas;nitritireducens
S769	species	HMT-663	Bacteria;Pseudomonadota;Gammaproteobacteria;Xanthomonadales;Xanthomonadaceae;Stenotrophomonas;maltophilia
G770	genus		Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Stomatobaculum
S770	species	HMT-097	Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Stomatobaculum;sp._HMT_097
S771	species	HMT-373	Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Stomatobaculum;sp._HMT_373
S772	species	HMT-419	Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Stomatobaculum;longum
S773	species	HMT-910	Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Stomatobaculum;sp._HMT_910
G774	genus		Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus
S774	species	HMT-021	Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;vestibularis
S775	species	HMT-056	Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;sp._HMT_056
S776	species	HMT-057	Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;sp._HMT_057
S777	species	HMT-058	Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;sp._HMT-058
S778	species	HMT-061	Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;sp._HMT_061
