Taxonomy	Rank	HMT	Taxonomy_ID	Notes	S700016097-VIN	S700016502-VIN	S700016602-VIN	S700021928-VIN	S700023098-VIN	S700023200-VIN	S700023279-VIN	S700023432-VIN	S700023489-VIN	S700023666-VIN	S700023800-VIN	S700023857-VIN	S700023914-VIN	S700023999-VIN	S700024076-VIN	S700024159-VIN	S700024266-VIN	S700024391-VIN	S700024841-VIN	S700024878-VIN	S700033038-VIN	S700033191-VIN	S700033495-VIN	S700033787-VIN	S700037010-VIN	S700037232-VIN	S700037712-VIN	S700038734-VIN	S700097351-VIN	S700098327-VIN	S700098419-VIN	S700098992-VIN	S700099119-VIN	S700099348-VIN	S700100287-VIN	S700103301-VIN	S700103704-VIN	S700105175-VIN	S700105232-VIN	S700105449-VIN	S700105717-VIN	S700105792-VIN	S700105994-VIN	S700106050-VIN	S700106087-VIN	S700106516-VIN	S700106573-VIN	S700106831-VIN	S700106908-VIN	S700113156-VIN	S700113535-VIN	S700113574-VIN	S700113852-VIN	S700113966-VIN	S700114100-VIN	S700114157-VIN	S700114230-VIN	S700114299-VIN	S700114454-VIN	S700114501-VIN	S700114590-VIN	S700114647-VIN	S700114830-VIN	S700114933-VIN	S700116213-VIN	S700116338-VIN	S700116653-VIN	S700116994-VIN	S700117694-VIN	S700117749-VIN	S700117950-VIN
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;agalactiae	species	537	2759		0.0	0.0	0.0	0.0	0.0	0.0	0.319	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.224	0.0	0.0	0.0	0.0	0.0	0.0	18.906	2.632	1.458	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.171	0.0	0.0	0.0	0.0	0.0	0.152	0.0	0.035	0.0	0.0	0.0	0.013	0.32	0.019	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.277	0.0
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;anginosus	species	543	2765		0.052	0.0	0.0	0.0	0.0	0.0	0.099	0.0	0.0	3.428	0.0	0.147	0.0	0.017	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.014	0.012	0.0	0.0	0.0	0.0	0.0	0.0	3.8	0.0	0.0	0.03	0.0	0.045	0.0	0.132	0.0	0.0	0.0	0.0	0.0	0.122	0.0	0.0	0.0	0.0	0.0	0.0	0.094	0.019	0.0	0.0	0.0	3.874	2.69	0.0	0.0	0.0	0.007	0.0	0.02	0.0	0.016	0.0	0.014	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacillota;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;salivarius	species	755	2926		0.303	0.032	0.0	0.0	0.016	0.0	0.011	0.093	0.0	0.0	0.0	0.0	0.0	0.035	0.0	0.0	0.062	0.0	0.105	0.0	0.408	0.014	0.012	0.0	0.018	0.0	1.006	0.0	0.028	0.0	0.026	0.034	0.06	0.057	0.041	0.016	0.0	0.015	0.062	0.064	0.014	0.149	0.0	0.0	0.0	0.0	0.083	0.0	0.07	0.059	0.0	0.012	0.064	0.0	0.009	0.027	0.0	0.112	0.0	0.061	0.0	0.098	0.0	0.0	4.932	0.0	0.089	0.078	0.09	0.018	0.0
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnospiraceae [G7];bacterium HMT-086	species	086	2375		0.0	0.0	0.0	0.0	0.005	0.016	0.033	0.0	0.0	0.0	0.0	0.031	0.0	0.0	0.0	0.0	0.0	0.012	0.0	0.061	0.0	0.0	0.012	0.0	0.0	0.0	0.0	0.0	0.028	0.22	0.0	0.0	0.0	1.083	2.13	0.0	0.013	0.0	0.0	0.0	4.288	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.34	0.0	0.0	0.0	2.665	0.0	0.214	0.0	0.037	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009	0.0	0.101	0.0
Bacteria;Bacillota;Clostridia;Eubacteriales;Lachnospiraceae;Lachnospiraceae [G9];bacterium HMT-924	species	924	3069		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.024	0.0	0.0	0.0	16.719	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.812	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptostreptococcaceae;Peptostreptococcus;anaerobius	species	542	2764		0.104	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.013	0.154	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.041	0.014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.028	0.551	0.0	0.0	0.0	0.0	0.0	1.442	0.079	0.0	0.0	0.0	0.0	0.0	0.049	0.0	0.026	0.0	0.0	0.0	0.141	0.0	0.0	0.012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.158	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Colibacter;massiliensis	species	123	2412		0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.419	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.631	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Dialister;micraerophilus	species	843	2992		0.063	0.0	0.694	0.0	0.005	0.016	0.011	0.0	0.0	0.0	0.0	0.154	0.0	0.012	0.0	0.036	0.0	0.0	0.0	0.041	0.367	0.0	0.035	0.0	0.0	0.033	0.0	0.0	0.476	0.606	0.96	0.0	0.03	0.0	5.357	3.899	0.291	0.0	0.0	0.0	3.059	0.0	0.0	0.156	0.0	0.0	0.348	0.12	0.01	0.903	0.0	0.0	0.0	6.383	0.292	0.12	0.267	0.0	0.013	0.0	0.12	0.0	0.013	0.0	0.0	0.148	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Dialister;sp. HMT-119	species	119	2408		0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.844	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacillota;Negativicutes;Veillonellales;Veillonellaceae;Megasphaera;sp. HMT-841	species	841	2990		0.136	0.0	19.398	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.027	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.386	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012	0.0	0.0	0.0	14.397	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009	0.0	0.013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.544	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae;Anaerococcus;prevotii	species	738	2913		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.044	0.26	0.0	0.0	0.012	0.006	0.0	0.0	0.0	0.106	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.0	0.0	0.0	0.047	0.155	0.0	0.0	0.0	0.0	0.029	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.037	0.0
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae;Anaerococcus;tetradius	species	788	2946		0.0	0.0	0.097	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.526	0.0	0.0	0.0	0.0	0.0	0.012	0.0	0.02	0.0	0.0	0.012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014	4.153	3.528	0.0	0.0	0.0	0.0	0.099	0.0	0.0	0.0	0.0	0.0	0.038	0.0	0.035	0.0	0.012	0.0	0.0	0.0	0.0	0.0	0.019	0.0	0.0	0.0	0.0	0.039	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae;Finegoldia;magna	species	662	2858		0.01	0.026	0.0	0.0	0.43	0.145	0.154	0.279	0.065	3.623	0.114	1.105	0.024	0.325	0.04	0.12	0.111	0.177	0.063	0.98	0.136	0.149	0.046	0.091	0.0	0.0	0.0	0.034	0.0	0.688	0.701	0.772	0.09	0.038	0.027	1.728	1.07	0.0	0.012	0.064	1.329	0.182	0.986	1.806	0.104	0.163	0.0	0.647	0.262	0.903	0.214	0.311	0.212	5.682	2.549	2.035	0.32	0.056	0.081	0.069	0.106	0.138	0.276	0.0	0.0	0.042	0.0	0.235	0.0	0.358	0.0
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae;Peptoniphilaceae [G3];bacterium HMT-929	species	929	3072		0.073	0.039	0.012	0.0	0.5	0.0	0.253	0.0	0.0	0.216	0.0	0.139	0.486	0.006	0.0	0.241	0.025	0.0	0.0	0.122	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014	0.0	0.248	0.0	0.034	0.0	0.0	0.0	0.0	6.633	0.0	0.0	0.0	1.158	0.0	0.024	0.0	0.0	0.0	0.017	2.903	0.01	0.047	0.039	0.012	0.021	7.061	0.0	0.402	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.049	0.0	0.0	0.0	0.009	0.0
Bacteria;Bacillota;Clostridia;Eubacteriales;Peptoniphilaceae;Peptoniphilus;harei	species	109	2398		0.084	0.0	0.012	0.0	0.279	0.0	0.165	0.186	0.0	2.293	0.038	1.19	0.0	0.116	0.0	0.012	0.0	0.059	0.0	0.225	0.0	0.041	0.023	0.0	0.018	0.0	0.0	0.014	0.0	6.388	0.311	0.069	0.388	0.114	0.007	0.238	2.418	0.0	0.0	0.016	0.429	0.0	0.207	0.071	0.182	0.074	0.0	0.278	0.04	0.281	0.039	0.127	0.0	1.73	1.005	0.495	0.027	0.056	0.013	0.007	0.013	0.0	0.105	0.0	0.0	0.035	0.0	0.061	0.0	0.083	0.0
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;animalis	species	420	2681		0.031	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.061	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.268	0.0	0.0	0.03	0.0	0.0	0.0	0.053	0.0	0.0	0.0	2.959	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.019	0.0	0.021	4.84	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.035	0.0	0.0	0.0	0.0	0.0
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Sneathia;sanguinegens	species	837	2986		0.0	0.0	1.413	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.066	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.066	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0
Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Sneathia;vaginalis	species	844	2993		0.0	0.0	1.62	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.462	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.176	0.0	0.0	0.0	0.0	0.0
Bacteria;Pseudomonadota;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Brevundimonas;diminuta	species	590	2802		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.046	0.012	0.0	0.0	0.0	0.122	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.174	0.0	0.227	0.0	0.0	0.069	0.0	0.0	0.0	0.0	0.011	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Boseaceae;Bosea;vestrisii	species	636	2839		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.025	0.059	0.011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.016	0.007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.016	0.0	0.015	0.0	0.0	0.0	0.0	0.061	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.073	0.027	0.0	0.0	0.0	0.033	0.0	0.0	0.013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;sp. HMT-004	species	004	2295		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.164	0.0	0.0	0.0	0.0	0.087	0.107	0.0	0.025	0.047	0.0	0.082	0.0	0.0	0.0	0.0	0.0	0.066	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.092	0.075	0.016	0.0	0.0	0.122	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.028	0.0
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Alcaligenaceae;Achromobacter;xylosoxidans	species	343	2623		0.0	0.562	0.0	0.0	0.0	0.016	0.0	0.0	0.0	0.022	0.038	0.0	0.0	0.046	0.0	0.024	0.0	0.047	0.053	0.02	0.0	16.411	0.139	2.813	0.0	0.066	0.048	0.096	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015	0.0	0.0	0.0	0.05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.054	0.0	0.0	0.027	0.007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009	0.0	0.0	0.0
Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Burkholderia;cepacia	species	571	2787		0.0	0.026	0.0	0.029	0.0	0.0	0.0	0.0	0.0	0.497	0.013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.061	0.0	2.674	0.0	0.662	0.0	0.0	0.0	0.0	0.056	0.0	0.0	0.017	0.0	0.019	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.171	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseriaceae [G1];bacterium HMT-174	species	174	2457		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.194	0.0	0.0	0.064	0.0	0.0	0.0	0.0	0.0	3.582	0.0	0.0	0.0	0.026	0.0	0.0	0.016	0.0	0.0	0.207	0.0	0.065	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.275	0.0	0.0	0.118	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Pseudomonadota;Epsilonproteobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;ureolyticus	species	842	3129		0.021	0.0	0.0	0.0	0.016	0.0	0.187	0.0	0.0	0.216	0.0	1.545	0.0	0.0	0.0	0.0	0.0	0.035	0.0	0.082	0.0	0.027	0.07	0.0	0.0	0.0	0.0	0.0	0.504	6.112	0.078	0.051	0.03	0.019	0.0	0.0	5.933	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015	0.0	0.805	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.616	0.0	0.0	0.0	0.022	0.0	0.0	0.0	0.0	0.032	0.014	0.0	0.0	0.0	0.0	0.0
Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;fluorescens	species	612	2821		0.0	0.0	0.0	0.0	0.0	0.016	0.121	0.0	0.458	1.709	0.252	0.0	0.154	1.316	0.16	0.722	3.876	1.344	1.789	0.184	0.027	0.0	0.0	0.0	0.0	0.575	1.948	0.356	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.127	0.0	2.659	0.062	0.048	0.0	0.0	0.329	0.142	0.0	0.134	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.037	0.0	0.841	0.0	0.081	0.076	0.0	0.0	0.512	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae;Stenotrophomonas;maltophilia	species	663	2859		0.0	0.607	0.0	0.0	0.0	0.048	0.0	0.0	0.0	0.022	0.101	0.0	0.024	0.893	0.226	0.024	0.111	0.083	0.053	0.102	0.0	9.772	0.081	0.88	0.0	0.0	0.016	0.014	0.084	0.028	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.053	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteria;Bacillota;Bacilli;Lactobacillales;Lactobacillaceae;Limosilactobacillus;reuteri;clade-938	subspecies	938	3081	Because HMT-818 is not present individually, all equidistant reads were assigned to HMT-938 at this body site (VIN).	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.875	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.899	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
UNMATCHED	UNMATCHED				4.92	0.678	45.848	0.147	2.337	0.339	3.687	0.9	4.037	7.516	2.448	9.27	2.004	15.989	0.52	2.827	8.761	10.013	12.336	7.083	0.571	2.296	0.662	18.641	0.127	14.072	15.746	1.096	45.309	46.035	18.812	8.887	10.866	0.304	6.776	26.121	24.524	8.039	6.477	2.584	33.248	5.979	17.945	3.526	1.154	1.351	13.319	16.555	2.113	2.403	5.314	1.211	2.754	50.456	16.583	17.816	10.464	0.13	3.288	17.292	6.983	0.826	4.898	0.096	10.057	39.032	0.022	0.48	0.628	0.578	3.264
